btl_X,btl_EXPOCODE,btl_Cruise_ID,btl_Section_ID,btl_Station_ID,btl_Cast_number,btl_Rosette_Position,btl_Niskin_ID,btl_Niskin_flag,btl_Sample_ID,btl_Line_ID,btl_Date_UTC.mm.dd.yy,btl_Year_UTC.yyyy,btl_Month_UTC,btl_Day_UTC,btl_Time_UTC.hh.mm.ss,btl_Yearday_UTC,btl_Latitude.decimal.degrees,btl_Longitude.decimal.degrees,btl_Depth_bottom.m,btl_CTDPRES.dbar,btl_Depth.m,btl_CTDTEMP_ITS90.deg_C,btl_CTDSAL_PSS78,btl_CTDSAL_flag,btl_Salinity_PSS78,btl_Salinity_flag,btl_CTDOXY.umol.kg,btl_CTDOXY_flag,btl_Oxygen_djg.umol.kg,btl_Oxygen.mg.L,btl_Oxygen_flag,btl_DIC.umol.kg,btl_DIC_flag,btl_TA.umol.kg,btl_TA_flag,btl_pH_T_measured,btl_TEMP_pH.deg_C,btl_pH_flag,btl_Carbonate_measured.umol.kg,btl_TEMP_Carbonate.deg_C,btl_Carbonate_flag,btl_Silicate.umol.kg,btl_Silicate_flag,btl_Phosphate.umol.kg,btl_Phosphate_flag,btl_Nitrate.umol.kg,btl_Nitrate_flag,btl_Nitrite.umol.kg,btl_Nitrite_flag,btl_Ammonium.umol.kg,btl_Ammonium_flag,btl_Chl_a.ug.L,btl_Chl_a_flag,btl_Methane_CH4.nmol.L,btl_Methane_CH4_flag,btl_SYNECHOCOCCUS.cells.ml,btl_SYNECHOCOCCUS_FLAG,btl_EUK_PHYTOPLANKTON.cells.ml,btl_EUK_PHYTOPLANKTON_FLAG,btl_LARGE_DIATOM.cells.ml,btl_LARGE_DIATOM_FLAG,btl_CRYPTOPHYTE.cells.ml,btl_CRYPTOPHYTE_FLAG,btl_BACTERIA.ML,btl_BACTERIA_FLAG,btl_BACTERIA_HNA.ML,btl_BACTERIA_HNA_FLAG,btl_BACTERIA_LNA.ML,btl_BACTERIA_LNA_FLAG,co2Sys_BOH3,co2Sys_BOH4,co2Sys_CO2,co2Sys_CO3,co2Sys_F,co2Sys_H2PO4,co2Sys_H2S,co2Sys_H3PO4,co2Sys_H3SiO4,co2Sys_H4SiO4,co2Sys_HCO3,co2Sys_HF,co2Sys_HPO4,co2Sys_HS,co2Sys_HSO4,co2Sys_Hfree,co2Sys_NH3,co2Sys_NH4,co2Sys_OH,co2Sys_PO4,co2Sys_SO4,co2Sys_alkalinity,co2Sys_alkalinity_alpha,co2Sys_alkalinity_ammonia,co2Sys_alkalinity_beta,co2Sys_alkalinity_borate,co2Sys_alkalinity_phosphate,co2Sys_alkalinity_silicate,co2Sys_alkalinity_sulfide,co2Sys_alpha,co2Sys_alphaH,co2Sys_aqueous_CO2,co2Sys_beta,co2Sys_betaH,co2Sys_beta_alk,co2Sys_beta_dic,co2Sys_bh_upsilon,co2Sys_bicarbonate,co2Sys_carbonate,co2Sys_dic,co2Sys_dlnfCO2_dT,co2Sys_dlnpCO2_dT,co2Sys_fCO2,co2Sys_fH,co2Sys_fugacity_factor,co2Sys_gamma_alk,co2Sys_gamma_dic,co2Sys_gas_constant,co2Sys_hydrogen_free,co2Sys_hydroxide,co2Sys_isocapnic_quotient,co2Sys_isocapnic_quotient_approx,co2Sys_k_CO2,co2Sys_k_alpha,co2Sys_k_ammonia,co2Sys_k_aragonite,co2Sys_k_beta,co2Sys_k_bisulfate,co2Sys_k_borate,co2Sys_k_calcite,co2Sys_k_carbonic_1,co2Sys_k_carbonic_2,co2Sys_k_fluoride,co2Sys_k_phosphoric_1,co2Sys_k_phosphoric_2,co2Sys_k_phosphoric_3,co2Sys_k_silicate,co2Sys_k_sulfide,co2Sys_k_water,co2Sys_omega_alk,co2Sys_omega_dic,co2Sys_opt_adjust_temperature,co2Sys_opt_buffers_mode,co2Sys_opt_gas_constant,co2Sys_opt_k_bisulfate,co2Sys_opt_k_carbonic,co2Sys_opt_k_fluoride,co2Sys_opt_pH_scale,co2Sys_opt_pressured_kCO2,co2Sys_opt_total_borate,co2Sys_opt_which_fCO2_insitu,co2Sys_pCO2,co2Sys_pH,co2Sys_pH_free,co2Sys_pH_nbs,co2Sys_pH_sws,co2Sys_pH_total,co2Sys_par1,co2Sys_par1_type,co2Sys_par2,co2Sys_par2_type,co2Sys_peng_correction,co2Sys_phosphate,co2Sys_pressure,co2Sys_pressure_atmosphere,co2Sys_pressure_atmosphere_out,co2Sys_psi,co2Sys_revelle_factor,co2Sys_salinity,co2Sys_saturation_aragonite,co2Sys_saturation_calcite,co2Sys_silicate,co2Sys_substrate_inhibitor_ratio,co2Sys_temperature,co2Sys_total_alpha,co2Sys_total_ammonia,co2Sys_total_beta,co2Sys_total_borate,co2Sys_total_calcium,co2Sys_total_fluoride,co2Sys_total_phosphate,co2Sys_total_silicate,co2Sys_total_sulfate,co2Sys_total_sulfide,co2Sys_vp_factor,co2Sys_xCO2,btl_Cast,btl_Time_UTC,btl_Date_full_UTC,btl_bottle,Cast,bottle,btl_pressure,ctd_Depth,ctd_TemperatureITS90,ctd_SalinityPSS78,ctd_SigmathetaEOS80,ctd_Oxygen,ctd_Oxygen_alt1,ctd_Fluorescence,ctd_OxygenReductionPotential,ctd_Altimeter,ctd_value,ctd_Cruise,ctd_CTD,ctd_Station,ctd_F
0,33RO20210613,WCOA2021,QC85,1,1,2,11081,2,10102,1,2021-06-25,2021,6,25,02:39:24,176.111,51.458,-130.846,1345,1351.1,1335,2.748,34.458,2,NA,9,20.1,2,NA,NA,9,NA,9,NA,9,NA,NA,9,NA,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1351.1,NA,NA,NA,NA,34.458,NA,NA,0,NA,2.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11081,02:39:24,2021-06-25T09:39:24Z,2,11081,2,1335,1319.15,2.7915,34.4501,27.473,0.45,19.66,0.041,193.67,100,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
1,33RO20210613,WCOA2021,QC85,1,1,3,11020,2,10103,1,2021-06-25,2021,6,25,02:48:12,176.117,51.458,-130.846,1345,1012.5,1001.3,3.374,34.384,2,34.3813,2,16.7,2,15.1,0.495,2,2376,2,2370.2,2,7.2856,25.03,6,NA,NA,9,137.1,6,3.21,6,42.5,6,0.02,6,0.04,6,NA,9,1.236,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,387.77567481452303,20.57593689976274,69.5799955835849,38.95958315139079,67.11756071698733,0.11560319585413815,0,1.269223299485878e-7,0.8532283660553114,136.2467716339447,2267.4604212650243,4.733423744432359e-4,3.035788300603242,0,0.002792385260211009,0.02611791824725157,0,0,0.2676258853359068,0.058608376620289455,27736.30953767485,2370.2,0,0,0,20.57593689976274,3.1530049269214917,0.8532283660553114,0,0,0,69.57999558358493,0,0,-1.290022507216233e-4,1.3068645661422836e-4,28995,2267.4604212650243,38.95958315139079,2376,0.041148847348918806,0.04109271938812763,1253.3539559145215,0.7942426662953325,0.995800291536308,-1.306864566142284e-4,1.2540498329800557e-4,83.14462618,0.02611791824725157,0.2676258853359068,1.0421153384604518,1.035857792707853,0.05551504046820935,1e-7,1.0592821052963924e-10,8.111233090975205e-7,1e-7,0.2594250425640461,1.5340224391112446e-9,5.170306512390339e-7,9.421237966108662e-7,4.96737836665358e-10,0.0037033890443954713,0.026332037179184305,7.591966758343131e-7,5.581370651938826e-10,1.8104716146943967e-10,1.3518154955031466e-7,7.73714564675121e-15,1.27360902505107e-4,-1.3643235126469636e-4,1,1,3,1,10,1,1,0,1,1,1258.6398764564158,7.538947344752214,7.58306144185949,7.631941051628751,7.531894265052805,7.538947344752214,2376,2,2370.2,1,0,NA,1012.5,1,1,0.9191733642023348,18.94661549735869,34.3813,0.4852525150897007,0.7612694234746314,NA,0.08681627684869694,3.374,0,0,0,408.35161171428575,10102.767893023562,67.11803405936176,3.21,137.1,27736.31233006011,0,0.9924693525577724,1268.1901695127149,11020,02:48:12,2021-06-25T09:48:12Z,3,11020,3,1001,989.9,3.3957,34.3726,27.354,0.38,16.55,0.04,195.22,100,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
2,33RO20210613,WCOA2021,QC85,1,1,4,11058,2,10104,1,2021-06-25,2021,6,25,02:54:31,176.121,51.457,-130.846,1345,760,752,3.886,34.248,2,NA,9,18.8,2,16.5,0.542,2,2355.4,2,2342.7,2,7.2701,25.03,2,NA,NA,9,118.7,2,3.16,2,42.1,2,0.01,2,0.04,2,NA,9,1.677,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,387.43282182714063,19.33556674428795,73.0012316506356,36.934455336282085,66.85730811441584,0.12023902657410064,0,1.400729704096059e-7,0.7022387104444932,117.9977612895555,2245.4643130130826,5.021040756494337e-4,2.9843997501431967,0,0.003031476140321138,0.027166168953800352,0,0,0.26454883230059445,0.05536108320973192,27628.77263087224,2342.7,0,0,0,19.33556674428795,3.0951217764896906,0.7022387104444932,0,0,0,73.0012316506358,0,0,-1.289674788877175e-4,1.3097298683515909e-4,28995,2245.4643130130826,36.934455336282085,2355.4,0.04061793417886246,0.0405623066019858,1338.9189699680076,0.7918311635517375,0.9958287809991478,-1.3097298683516012e-4,1.2590009030992254e-4,83.14462618,0.027166168953800352,0.26454883230059445,1.0402930332515954,1.034363605511443,0.054522516513736095,1e-7,1.077706152173016e-10,7.691139969452512e-7,1e-7,0.24759155953538173,1.5070705313903135e-9,4.888934032845884e-7,9.288574125335034e-7,4.967051045127528e-10,0.003617291745109451,0.025921742648302454,7.495224140968598e-7,5.601710565508296e-10,1.7971489756400268e-10,1.3684828251479544e-7,7.988751835871515e-15,1.2702246285866862e-4,-1.3647185169334575e-4,1,1,3,1,10,1,1,0,1,1,1344.5272877377836,7.520026918567326,7.56597160263974,7.614232524852127,7.512865114832376,7.520026918567326,2355.4,2,2342.7,1,0,NA,760,1,1,0.9225352242806946,18.708485388706382,34.248,0.4832749451565492,0.7602751892246029,NA,0.08265664241549069,3.886,0,0,0,406.76838857142855,10063.598374705753,66.8578102184915,3.16,118.7,27628.775662348384,0,0.9921918792391718,1355.1081357053515,11058,02:54:31,2021-06-25T09:54:31Z,4,11058,4,752,744.11,3.92,34.231,27.1882,0.46,19.89,0.042,196.58,100,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
3,33RO20210613,WCOA2021,QC85,1,1,5,11008,2,10105,1,2021-06-25,2021,6,25,03:00:47,176.126,51.457,-130.846,1345,505.7,500.7,4.568,34.061,2,NA,9,39,2,40.5,1.33,2,2317.6,2,2310,2,7.083,25.03,4,NA,NA,9,92.5,2,2.99,2,40.2,2,0.02,2,0.03,2,NA,9,1.487,6,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,384.7343138396787,19.813049017464188,69.40170374462853,38.21941747602392,66.49226639243777,0.10984580529082932,0,1.243376847523792e-7,0.5723342092137964,91.9276657907862,2209.978878779348,4.886254330221646e-4,2.824587118973413,0,0.0030327043401514983,0.025844233028452047,0,0,0.29054770729681323,0.05556695139807301,27477.914738705625,2310,0,0,0,19.813049017464188,2.9357208974318745,0.5723342092137964,0,0,0,69.40170374462873,0,0,-1.2709739961414544e-4,1.2883076070339892e-4,28995,2209.978878779348,38.21941747602392,2317.6,0.04042061858084296,0.040365649848084745,1303.4704042430023,0.7886104017769999,0.9958663372436016,-1.288307607033996e-4,1.236221341889344e-4,83.14462618,0.025844233028452047,0.29054770729681323,1.0421334459936118,1.0361224623894691,0.05324378943987919,1e-7,1.1128553145027651e-10,7.277753177115089e-7,1e-7,0.23416250052504947,1.487104637171882e-9,4.6138293686744774e-7,9.195368264010694e-7,4.993983191920341e-10,0.0035168894435302998,0.0255112557602416,7.42544752220989e-7,5.680842283486454e-10,1.797854776663101e-10,1.3959051267518833e-7,8.390128043452374e-15,1.2541006251102902e-4,-1.3449760842421023e-4,1,1,3,1,10,1,1,0,1,1,1308.8808763742325,7.539448864047878,7.587636351732063,7.63529911215398,7.532161613276374,7.539448864047878,2317.6,2,2310,1,0,NA,505.7,1,1,0.9191400177096511,18.747451782849517,34.061,0.5256083024836219,0.8290829997506424,NA,0.0855114901783455,4.568,0,0,0,404.5473628571429,10008.649388018355,66.49275501787079,2.99,92.5,27477.91777140996,0,0.9918081949083356,1319.6915321870283,11008,03:00:47,2021-06-25T10:00:47Z,5,11008,5,501,496.04,4.598,34.0572,26.9769,0.96,41.67,0.041,198.24,99.95,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
4,33RO20210613,WCOA2021,QC85,1,1,6,11082,2,10106,1,2021-06-25,2021,6,25,03:07:37,176.13,51.457,-130.846,1345,253.6,251.3,5.972,33.873,2,33.8707,2,119.2,2,119.8,3.937,2,2236.5,2,2270.7,2,7.4213,25.03,2,NA,NA,9,56,2,2.34,2,31.2,2,0.02,2,0.03,2,NA,9,3.208,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,375.4943681376005,26.79277443382809,48.35285859798006,52.496539844305694,66.12089161613387,0.06218520653764481,0,5.205413901904176e-8,0.49164859399562544,55.50835140600438,2135.650601557714,3.660505170116234e-4,2.214570957294294,0,0.002375997706921882,0.01865177334791485,0,0,0.4522310739542828,0.06324378411392145,27324.395306398445,2270.7,0,0,0,26.79277443382809,2.341058473467998,0.49164859399562544,0,0,0,48.35285859798024,0,0,-1.269364526712594e-4,1.267017057533039e-4,28995,2135.650601557714,52.496539844305694,2236.5,0.041280965756345045,0.041227326063682616,953.8821098050352,0.7827159208456336,0.9959422638372184,-1.2670170575330392e-4,1.196987843317636e-4,83.14462618,0.01865177334791485,0.4522310739542828,1.0585045325283389,1.0512747244356264,0.05069060222532433,1e-7,1.223533750516963e-10,6.88490741316987e-7,1e-7,0.21449870369783497,1.5004015507563967e-9,4.357458526191818e-7,9.287552720986924e-7,5.168847521491013e-10,0.0033691302885033533,0.025120313649617566,7.488516019324752e-7,6.00511725160692e-10,1.8624718467915623e-10,1.4720489473806942e-7,9.509411580426935e-15,1.271720710597713e-4,-1.3457495031129026e-4,1,1,3,1,10,1,1,0,1,1,957.7684816084302,7.677206755851531,7.729279870632727,7.77610741759216,7.6697115852757,7.677206755851531,2236.5,2,2270.7,1,0,NA,253.6,1,1,0.8894581350755386,18.68440028431029,33.8707,0.75888300756603555,1.1990565631582202,NA,0.11450120917303908,5.972,0,0,0,402.2871425714286,9952.730713330591,66.12125766665089,2.3399999999999994,56,27324.397682396157,0,0.9909663743281362,966.4994760874569,11082,03:07:37,2021-06-25T10:07:37Z,6,11082,6,251,248.66,6.0015,33.873,26.6646,2.76,119.88,0.041,199.92,99.63,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
5,33RO20210613,WCOA2021,QC85,1,1,7,11004,2,10107,1,2021-06-25,2021,6,25,03:13:11,176.134,51.457,-130.846,1345,152.5,151.1,6.977,33.704,2,NA,9,154.2,2,156,5.122,2,2192.6,2,2249.9,2,7.4895,25.03,2,NA,NA,9,38.8,2,2.05,2,26.6,2,0.03,2,0.02,2,NA,9,3.837,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,368.81492796651,31.4922948906329,39.58193337974737,62.33474920917646,65.79551541752564,0.0455601204500627,0,3.2589472938482767e-8,0.4145720275427656,38.38542797245723,2090.683317411076,3.160355238012693e-4,1.936073941615498,0,0.0021110579542124976,0.015739365870978857,0,0,0.5856779920285745,0.06836590534496663,27189.91423219684,2249.9,0,0,0,31.4922948906329,2.072805719715958,0.4145720275427656,0,0,0,39.581933379747525,0,0,-1.318230199377952e-4,1.304691295446743e-4,28995,2090.683317411076,62.33474920917646,2192.6,0.04165119620485359,0.04159848562696407,808.0922611200848,0.7784339080481328,0.9959954878878609,-1.3046912954467477e-4,1.219472833408215e-4,83.14462618,0.015739365870978857,0.5856779920285745,1.069881394405776,1.0622874404993778,0.04898194832961741,1e-7,1.3207568828540718e-10,6.711238076552248e-7,1e-7,0.20271921348588604,1.5242084133820607e-9,4.246804939798341e-7,9.428438799256124e-7,5.322191521648862e-10,0.003276782550803572,0.02495491315748126,7.585524443456614e-7,6.303273705485635e-10,1.927889529059747e-10,1.533402703642051e-7,1.0454600478792707e-14,1.332053038684814e-4,-1.4027149737674745e-4,1,1,3,1,10,1,1,0,1,1,811.3412871314814,7.748351463925002,7.803012769072408,7.849507923180896,7.740729668423543,7.748351463925002,2192.6,2,2249.9,1,0,NA,152.5,1,1,0.8693660909121823,17.979900330145636,33.704,0.9198713628364942,1.453675363788061,NA,0.13283148346312978,6.977,0,0,0,400.3072228571429,9903.74677706969,65.79583145304944,2.05,38.8,27189.91634325479,0,0.9903175579422168,819.2738587987567,11004,03:13:11,2021-06-25T10:13:11Z,7,11004,7,151,149.63,7.0233,33.693,26.3879,3.57,155.24,0.041,200.95,99.46,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
6,33RO20210613,WCOA2021,QC85,1,1,8,11027,2,10108,1,2021-06-25,2021,6,25,03:15:43,176.136,51.457,-130.846,1345,126.2,125,7.267,33.536,2,NA,9,168.5,2,166.1,5.454,2,2175.8,2,2235,2,7.5055,25.03,2,NA,NA,9,33.6,6,1.94,6,25,6,0.04,6,0.03,6,NA,9,4.178,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,366.4833940975082,31.828468759634625,38.60190853295988,63.05072200114057,65.46755457466334,0.042396886828025705,0,2.9991287577842465e-8,0.3673513837777879,33.232648616222214,2074.1473694658994,3.128478819411602e-4,1.8310236197365584,0,0.0021079662674951816,0.015501425534344578,0,0,0.6091061114564649,0.06657946344412868,27054.384151450795,2235,0,0,0,31.828468759634625,1.964182516633528,0.3673513837777879,0,0,0,38.60190853295989,0,0,-1.3176205135528995e-4,1.3029793248107418e-4,28995,2074.1473694658994,63.05072200114057,2175.8,0.041605300287409885,0.04155285440849367,795.2780263575838,0.7768256749424127,0.9960106745938404,-1.3029793248107383e-4,1.2164623686912912e-4,83.14462618,0.015501425534344578,0.6091061114564649,1.0711217694407826,1.0635219475730764,0.048538884834726695,1e-7,1.3515107620532109e-10,6.63917394735644e-7,1e-7,0.1989507743876766,1.5293461889286471e-9,4.20021879669976e-7,9.46183114059269e-7,5.352970062819457e-10,0.003243878193638059,0.024893342653550345,7.605089673184413e-7,6.403106197220411e-10,1.946529926317292e-10,1.551129636702305e-7,1.0725988265574023e-14,1.3325944789191192e-4,-0.00014027450336803589,1,1,3,1,10,1,1,0,1,1,798.4633565116029,7.754255639508789,7.8096283616211934,7.856284107664838,7.746607678711984,7.754255639508789,2175.8,2,2235,1,0,NA,126.2,1,1,0.8672013370096767,17.8862910682621,33.536,0.935848091827122,1.479270145360954,NA,0.1338036534040349,7.267,0,0,0,398.3118628571429,9854.38084250561,65.46786742254528,1.94,33.599999999999994,27054.38625941706,0,0.9901221992399356,806.4291025133473,11027,03:15:43,2021-06-25T10:15:43Z,8,11027,8,125,123.87,7.1195,33.3742,26.1234,4.36,189.86,0.041,201.15,99.34,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
7,33RO20210613,WCOA2021,QC85,1,1,9,12052,2,10109,1,2021-06-25,2021,6,25,03:18:45,176.138,51.457,-130.846,1345,101.6,100.7,7.169,32.935,2,NA,9,209.1,2,211.8,6.952,2,2123.2,2,2206.3,2,7.5779,25.03,2,NA,NA,9,27.7,2,1.71,2,20.2,2,0.03,2,0.02,2,NA,9,3.956,6,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,353.91544066801947,37.25825933198056,30.898052081670112,73.90335801173906,64.29436233395853,0.03064561209645731,0,1.7732620696542372e-8,0.367265041705404,27.332734958294598,2018.3985899065904,2.5281279507528544e-4,1.6076286361957834,0,0.0017058145545509771,0.012625367908106878,0,0,0.7326736050905397,0.07172573397513854,26569.54181320682,2206.3,0,0,0,37.25825933198056,1.7510800864134397,0.367265041705404,0,0,0,30.89805208167026,0,0,-1.3885088634778815e-4,1.3609430328998673e-4,28995,2018.3985899065904,73.90335801173906,2123.2,0.04239086881367614,0.042338333654330464,632.1834753982163,0.775300999371782,0.9960055510589226,-1.3609430328998602e-4,1.255073073843714e-4,83.14462618,0.012625367908106878,0.7326736050905397,1.0843536215241405,1.076724305181794,0.0488751340142313,1e-7,1.341300132420415e-10,6.479102784019262e-7,1e-7,0.196651060132305,1.5087076048453446e-9,4.092006729216522e-7,9.361767731801592e-7,5.247340746566872e-10,0.0032108342405756268,0.024767228121898566,7.517950504973214e-7,6.393980335864931e-10,1.9256552163873823e-10,1.5400895485563674e-7,1.05000792003657e-14,1.4172144690785036e-4,-1.4863194622854594e-4,1,1,3,1,10,1,1,0,1,1,634.7188273459903,7.843717971264947,7.898755957515629,7.9466531089278,7.836123452708182,7.843717971264947,2123.2,2,2206.3,1,0,NA,101.6,1,1,0.8444167661734279,16.916943278032495,32.935,1.103888100684804,1.747847679556981,NA,0.15986849687053922,7.169,0,0,0,391.17370000000005,9677.780088499592,64.29461514675361,1.71,27.7,26569.543519021376,0,0.9901850917537678,641.0102844729839,12052,03:18:45,2021-06-25T10:18:45Z,9,12052,9,101,100.1,7.2155,32.8244,25.6773,5.03,218.83,0.041,201.53,99.31,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
8,33RO20210613,WCOA2021,QC85,1,1,10,11067,2,10110,1,2021-06-25,2021,6,25,03:21:31,176.14,51.457,-130.846,1345,81.9,81.2,7.323,32.535,2,NA,9,250.5,2,247.4,8.117,2,2084,2,2181.3,2,7.6433,25.03,2,NA,NA,9,20.6,2,1.48,2,16.1,2,0.03,2,0.03,2,NA,9,4.267,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,345.6708075012995,40.75203535584336,26.977748714146124,80.87522330870527,63.5135236341674,0.023597379534138336,0,1.2200926736712292e-8,0.3070880652582667,20.29291193474173,1976.1470279771488,2.2477329056777177e-4,1.3862201860572865,0,0.0015256117029866908,0.011233778558273693,0,0,0.8298011296191827,0.07018242220764866,26246.851317605557,2181.3,0,0,0,40.75203535584336,1.5265850182716572,0.3070880652582667,0,0,0,26.977748714146315,0,0,-1.441509951265233e-4,1.4051687576863178e-4,28995,1976.1470279771488,80.87522330870527,2084,0.04271493605104217,0.04266254111192391,553.6342800944176,0.7735101656484732,0.996013598429939,-1.405168757686314e-4,1.285267401230812e-4,83.14462618,0.011233778558273693,0.8298011296191827,1.0932890356829132,1.085974560393986,0.048728465133238245,1e-7,1.359389283787002e-10,6.368159299882042e-7,1e-7,0.1932676020881882,1.504237891589091e-9,4.018253955022232e-7,9.346380821468376e-7,5.221871294113317e-10,0.0031742955675900983,0.02467748419517403,7.495461281740813e-7,6.459903914676469e-10,1.9308498006780149e-10,1.547691210974065e-7,1.058775652563011e-14,1.4797807996602447e-4,-1.549742765870992e-4,1,1,3,1,10,1,1,0,1,1,555.8501218930506,7.894170075927033,7.949474141245675,7.998119967419797,7.88658599309064,7.894170075927033,2084,2,2181.3,1,0,NA,81.9,1,1,0.8293424105828682,16.21452468182338,32.535,1.2141447509093426,1.9241857964807296,NA,0.17591116094430348,7.323,0,0,0,386.4228428571428,9560.242149061309,63.51374840745797,1.48,20.6,26246.852843217257,0,0.9900788500351428,561.4200544464926,11067,03:21:31,2021-06-25T10:21:31Z,10,11067,10,81,80.28,7.3366,32.465,25.3778,6.06,263.95,0.046,201.71,99.5,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
9,33RO20210613,WCOA2021,QC85,1,1,11,11023,2,10111,1,2021-06-25,2021,6,25,03:24:30,176.142,51.456,-130.846,1345,60.6,60,7.736,32.288,2,NA,9,282.2,2,285.6,9.37,2,2040.4,2,2167.7,2,7.7242,25.03,2,NA,NA,9,11.8,2,1.18,2,10.8,2,0.07,2,0.03,2,NA,9,3.976,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,334.7678796871182,48.72130888431036,21.253274943836924,97.33335938110434,63.03137916153884,0.015131526116121894,0,6.396994147581805e-9,0.21830585891750423,11.581694141082496,1921.8133656750588,1.840344040801241e-4,1.095291569240989,0,0.00126302652411628,0.00914023080729568,0,0,1.056442751903912,0.06957689824589472,26047.590087881694,2167.7,0,0,0,48.72130888431036,1.2344453593357845,0.21830585891750423,0,0,0,21.253274943836956,0,0,-1.5964473394599517e-4,1.53906062021848e-4,28995,1921.8133656750588,97.33335938110434,2040.4,0.043176598350260754,0.043124577354127495,441.7821358529162,0.7712816561742335,0.9960350744929456,-1.5390606202184815e-4,1.383156470713752e-4,83.14462618,0.00914023080729568,1.056442751903912,1.1127162058709643,1.1071172060879246,0.0481080451630405,1e-7,1.407073036390397e-10,6.286845677908407e-7,1e-7,0.18850038445839248,1.5140649613823681e-9,3.966036443991135e-7,9.407076865375232e-7,5.268898679855663e-10,0.0031305089747664947,0.024607988892596622,7.530370715666764e-7,6.608526910658225e-10,1.9609324965571703e-10,1.574023014169715e-7,1.0990445868661261e-14,1.6582793493191857e-4,-1.7345753753219778e-4,1,1,3,1,10,1,1,0,1,1,443.5407418537098,7.982830656263034,8.039042837409573,8.08800209269266,7.975215095107893,7.982830656263034,2040.4,2,2167.7,1,0,NA,60.6,1,1,0.7974034973585431,14.751765568121805,32.288,1.4688861606163768,2.3284356411302776,NA,0.2102587348386301,7.736,0,0,0,383.4891885714286,9487.662471458169,63.03156319594292,1.18,11.8,26047.591350908217,0,0.989793459402564,448.1144400786701,11023,03:24:30,2021-06-25T10:24:30Z,11,11023,11,60,59.47,7.6526,32.2574,25.1707,6.48,282.1,0.056,202.03,99.58,dRB2102_CTD_001_01_F.csv,dRB2102,CTD,001,F.csv
