																														Carbon Group Data								from_bottlefiles																										from_bottlefiles																					Molecular data notes					
OME Sample Name	Sample_ID	Sample Niskin_flag	Rep_Chem_Bottle	Rep Chem Bottle Niskin Flag	EXPOCODE	Cruise_ID	Section_ID	Station_ID	Cast_number	Niskin_Bottle_No	Niskin_ID	Niskin_flag	Line_ID	SMM_Line#	Date_UTC	Year_UTC	Month_UTC	Day_UTC	Time_UTC	Yearday_UTC	Date_local	Time_local	Local_Sunrise	Local_Sunset	Time_after_SunriseSunset	day_night	Latitude	Longitude	Depth_bottom	CTDPRES	Depth	Altitude	CTDTEMP_ITS90	CTDSAL_PSS78	CTDSAL_flag	Salinity_PSS78	Salinity_flag	Sigma_theta	CTDOXY	CTDOXY_flag	Oxygen_djg	Oxygen	Oxygen_flag	DIC	DIC_flag	TA	TA_flag	pH_T_measured	TEMP_pH	pH_flag	Carbonate_measured	TEMP_Carbonate	Carbonate_flag	Silicate	Silicate_flag	Phosphate	Phosphate_flag	Nitrate	Nitrate_flag	Nitrite	Nitrite_flag	Ammonium	Ammonium_flag	Fluorometer	Chl_a	Chl_a_flag	Methane_CH4	Methane_CH4_flag	SYNECHOCOCCUS	SYNECHOCOCCUS_FLAG	EUK_PHYTOPLANKTON	EUK_PHYTOPLANKTON_FLAG	LARGE_DIATOM	LARGE_DIATOM_FLAG	CRYPTOPHYTE	CRYPTOPHYTE_FLAG	BACTERIA	BACTERIA_FLAG	BACTERIA_HNA	BACTERIA_HNA_FLAG	BACTERIA_LNA	BACTERIA_LNA_FLAG	½Ca out	½Ar out	Extraction ng/µL	Total Extracted DNA (ng)	Volume filtered (mL)	Extraction Yield (ng DNA/L water sampled)	Target Depth	Notes
n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	mm/dd/yy	yyyy	n.a.	n.a.	hh:mm:ss	n.a.	mm/dd/yy	hh:mm:ss	hh:mm:ss	hh:mm:ss	hr	n.a.	decimal degrees	decimal degrees	m	dbar	m	m	deg_C	n.a.	n.a.	n.a.	n.a.	n.a.	umol/kg	n.a.	umol/kg	mg/L	n.a.	umol/kg	n.a.	umol/kg	n.a.	n.a.	deg_C	n.a.	umol/kg	deg_C	n.a.	umol/kg	n.a.	umol/kg	n.a.	umol/kg	n.a.	umol/kg	n.a.	umol/kg	n.a.	V4 volts	ug/L	n.a.	nmol/L	n.a.	cells/ml	n.a.	cells/ml	n.a.	cells/ml	n.a.	cells/ml	n.a.	ML	n.a.	ML	n.a.	ML	n.a.	n.a.	n.a.	ng/µL	ng	mL	ng DNA/L water	n.a.	n.a.
E367.1T	10102	2	10101	2	33RO20210613	WCOA2021	QC85	1	1	2	11081	2	1	1	6/25/21	2021	6	25	2:39:24 AM	176.111	6/24/21	6:39:24 PM	4:27:00 AM	9:04:00 PM	14.2	day	51.458	-130.846	1345	1351.1	1335	10.0	2.748	34.458	2	NA	9	27.48	20.1	2	23.4	0.768	6	2386.7	2	2389.3	6	7.3043	25.03	2	NA	NA	9	155.1	2	3.18	2	42.4	2	0.02	2	0.2	2	0.04	NA	9	3.335	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.771148441	0.493346205			1000	NA	1360	
E367.2T	10102	2	10101	2	33RO20210613	WCOA2021	QC85	1	1	2	11081	2	1	1	6/25/21	2021	6	25	2:39:24 AM	176.111	6/24/21	6:39:24 PM	4:27:00 AM	9:04:00 PM	14.2	day	51.458	-130.846	1345	1351.1	1335	10.0	2.748	34.458	2	NA	9	27.48	20.1	2	23.4	0.768	6	2386.7	2	2389.3	6	7.3043	25.03	2	NA	NA	9	155.1	2	3.18	2	42.4	2	0.02	2	0.2	2	0.04	NA	9	3.335	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.771148441	0.493346205			1000	NA	1360	
E367.3T	10102	2	10101	2	33RO20210613	WCOA2021	QC85	1	1	2	11081	2	1	1	6/25/21	2021	6	25	2:39:24 AM	176.111	6/24/21	6:39:24 PM	4:27:00 AM	9:04:00 PM	14.2	day	51.458	-130.846	1345	1351.1	1335	10.0	2.748	34.458	2	NA	9	27.48	20.1	2	23.4	0.768	6	2386.7	2	2389.3	6	7.3043	25.03	2	NA	NA	9	155.1	2	3.18	2	42.4	2	0.02	2	0.2	2	0.04	NA	9	3.335	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.771148441	0.493346205			1000	NA	1360	
E368.1T	10109	2	10109	2	33RO20210613	WCOA2021	QC85	1	1	9	12052	2	1	1	6/25/21	2021	6	25	3:18:45 AM	176.138	6/24/21	7:18:45 PM	4:27:00 AM	9:04:00 PM	14.9	day	51.457	-130.846	1345	101.6	100.7	1244.3	7.169	32.935	2	NA	9	25.77	209.1	2	211.8	6.952	2	2123.2	2	2206.3	2	7.5779	25.03	2	NA	NA	9	27.7	2	1.71	2	20.2	2	0.03	2	0.02	2	0.04	NA	9	3.956	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.755254917	1.108566285			1000	NA	100	
E368.2T	10109	2	10109	2	33RO20210613	WCOA2021	QC85	1	1	9	12052	2	1	1	6/25/21	2021	6	25	3:18:45 AM	176.138	6/24/21	7:18:45 PM	4:27:00 AM	9:04:00 PM	14.9	day	51.457	-130.846	1345	101.6	100.7	1244.3	7.169	32.935	2	NA	9	25.77	209.1	2	211.8	6.952	2	2123.2	2	2206.3	2	7.5779	25.03	2	NA	NA	9	27.7	2	1.71	2	20.2	2	0.03	2	0.02	2	0.04	NA	9	3.956	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.755254917	1.108566285			1000	NA	100	
E368.3T	10109	2	10109	2	33RO20210613	WCOA2021	QC85	1	1	9	12052	2	1	1	6/25/21	2021	6	25	3:18:45 AM	176.138	6/24/21	7:18:45 PM	4:27:00 AM	9:04:00 PM	14.9	day	51.457	-130.846	1345	101.6	100.7	1244.3	7.169	32.935	2	NA	9	25.77	209.1	2	211.8	6.952	2	2123.2	2	2206.3	2	7.5779	25.03	2	NA	NA	9	27.7	2	1.71	2	20.2	2	0.03	2	0.02	2	0.04	NA	9	3.956	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.755254917	1.108566285			1000	NA	100	
E369.1B	10119	2	10119	2	33RO20210613	WCOA2021	QC85	1	1	19	11028	2	1	1	6/25/21	2021	6	25	3:38:25 AM	176.152	6/24/21	7:38:25 PM	4:27:00 AM	9:04:00 PM	15.2	day	51.456	-130.847	1345	6	6	1339.0	13.192	31.952	2	NA	9	23.99	282.4	2	287.1	9.407	6	1975.3	6	2157	2	7.8156	25.03	2	NA	NA	9	6.3	2	0.67	2	2.1	2	0.07	2	0.23	2	0.06	0.4	2	4.469	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.170742916	2.016418632			1000	NA	3	
E369.2B	10120	2	10119	2	33RO20210613	WCOA2021	QC85	1	1	20	11022	2	1	1	6/25/21	2021	6	25	3:39:26 AM	176.152	6/24/21	7:39:26 PM	4:27:00 AM	9:04:00 PM	15.2	day	51.456	-130.847	1345	5.3	5.2	1339.8	13.417	31.955	2	NA	9	23.95	282.6	2	287.1	9.407	6	1975.3	6	2157	2	7.8156	25.03	2	NA	NA	9	6.3	2	0.67	2	2.1	2	0.07	2	0.23	2	0.06	0.4	2	4.469	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.170742916	2.016418632			1000	NA	3	
E369.3B	10121	2	10119	2	33RO20210613	WCOA2021	QC85	1	1	21	11062	2	1	1	6/25/21	2021	6	25	3:39:42 AM	176.153	6/24/21	7:39:42 PM	4:27:00 AM	9:04:00 PM	15.2	day	51.456	-130.847	1345	5.1	5	1340.0	13.512	31.956	2	NA	9	23.93	282.6	2	287.1	9.407	6	1975.3	6	2157	2	7.8156	25.03	2	NA	NA	9	6.3	2	0.67	2	2.1	2	0.07	2	0.23	2	0.06	0.4	2	4.469	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.170742916	2.016418632			1000	NA	3	
E370	20102	2	20101	2	33RO20210613	WCOA2021	QC74	2	1	2	11081	2	1	1	6/25/21	2021	6	25	1:58:18 PM	176.582	6/25/21	5:58:18 AM	4:25:00 AM	9:05:00 PM	1.6	day	51.711	-130.642	887	886.3	876.7	10.3	4.062	34.242	2	NA	9	27.18	21.4	2	19.7	0.647	6	2350.7	6	2340.3	2	7.278	25	2	NA	NA	9	115	2	3.13	2	41.2	2	0.01	2	0.03	2	0.04	NA	9	2.946	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.769757044	0.490142082			1000	NA	bottom	
E371	20103	2	20103	2	33RO20210613	WCOA2021	QC74	2	1	3	11020	2	1	1	6/25/21	2021	6	25	2:04:00 PM	176.586	6/25/21	6:04:00 AM	4:25:00 AM	9:05:00 PM	1.7	day	51.711	-130.642	887	752.5	744.6	142.4	4.219	34.207	2	34.2064	2	27.14	24.5	2	23	0.755	2	2346.1	2	2331.9	2	7.2785	25	6	NA	NA	9	109.6	6	3.11	6	41.2	6	0.02	6	0.03	6	0.04	NA	9	2.67	2	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.769305331	0.489111803			1000	NA	750	
E372	20111	2	20110	2	33RO20210613	WCOA2021	QC74	2	1	11	11023	2	1	1	6/25/21	2021	6	25	2:42:21 PM	176.613	6/25/21	6:42:21 AM	4:25:00 AM	9:05:00 PM	2.3	day	51.714	-130.645	887	101.3	100.4	786.6	6.585	33.227	2	NA	9	26.08	154.6	2	152.8	5.018	2	2181.8	2	2269.2	4	7.482	25	2	NA	NA	9	47.3	2	2.13	2	26.5	2	0.08	2	0.03	2	0.04	NA	9	4.158	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.833311511	1.157628846			1000	NA	100	
E373	20124	2	20122	2	33RO20210613	WCOA2021	QC74	2	1	24	11001	2	1	1	6/25/21	2021	6	25	3:01:18 PM	176.626	6/25/21	7:01:18 AM	4:25:00 AM	9:05:00 PM	2.6	day	51.716	-130.644	887	3.7	3.6	883.4	9.973	32.032	2	NA	9	24.64	261.6	2	274.3	8.993	6	2015.9	6	2161.4	2	7.7318	25	2	NA	NA	9	17.1	2	1.11	2	8.9	2	0.2	2	0.11	2	0.08	1.8	2	4.532	2	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	2.620035843	1.656370647			1000	NA	3	
E374	30102	2	30101	2	33RO20210613	WCOA2021	QC62	3	1	2	11081	2	1	1	6/25/21	2021	6	25	5:06:12 PM	176.713	6/25/21	9:06:12 AM	4:23:00 AM	9:04:00 PM	4.7	day	51.83	-130.374	213	204.5	202.6	10.4	5.562	33.893	2	33.8931	2	26.73	84.6	2	83	2.728	6	2268.8	6	2283	2	7.3537	25.02	2	NA	NA	9	70.4	2	2.64	2	34.5	2	0.05	2	0.03	2	0.04	NA	9	3.126	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.061279044	0.670965957			1000	NA	202	
E375	30103	2	30103	2	33RO20210613	WCOA2021	QC62	3	1	3	11020	2	1	1	6/25/21	2021	6	25	5:11:14 PM	176.716	6/25/21	9:11:14 AM	4:23:00 AM	9:04:00 PM	4.8	day	51.83	-130.373	213	151.2	149.8	63.2	6.339	33.514	2	NA	9	26.34	127	2	NA	NA	5	2213.8	2	2249.8	2	7.4282	25.02	6	NA	NA	9	52.8	6	2.32	6	29.6	6	0.03	6	0.03	6	0.04	NA	9	3.079	2	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.253595343	0.79225469			1000	NA	150	
E376	30106	2	30105	2	33RO20210613	WCOA2021	QC62	3	1	6	11082	2	1	1	6/25/21	2021	6	25	5:17:43 PM	176.721	6/25/21	9:17:43 AM	4:23:00 AM	9:04:00 PM	4.9	day	51.83	-130.373	213	99.1	98.3	114.7	6.672	33.249	2	NA	9	26.08	154.2	2	156.3	5.131	2	2180.7	2	2228.8	2	7.4812	25.02	2	NA	NA	9	43.5	2	2.11	2	25.7	2	0.03	2	0.02	2	0.04	NA	9	3.84	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.37844848	0.870553198			1000	NA	100	
E377	30116	2	30115	2	33RO20210613	WCOA2021	QC62	3	1	16	11032	2	1	1	6/25/21	2021	6	25	5:37:37 PM	176.734	6/25/21	9:37:37 AM	4:23:00 AM	9:04:00 PM	5.2	day	51.83	-130.371	213	3.9	3.9	209.1	13.445	31.598	2	31.6064	2	23.67	294.7	2	294.8	9.657	6	1939.9	2	2141.8	6	7.9205	25.02	2	NA	NA	9	8.8	2	0.58	2	0.2	2	0.05	2	0.04	2	0.07	1.1	2	4.014	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.473299529	2.207214501			1000	NA	3	
E378	40102	2	40101	2	33RO20210613	WCOA2021	QC2	4	1	2	11081	2	1	1	6/25/21	2021	6	25	10:56:35 PM	176.956	6/25/21	2:56:35 PM	4:15:00 AM	9:02:00 PM	10.7	day	52.399	-129.051	45	35.3	35	10.0	9.569	31.86	2	31.8459	2	24.57	258	2	261.9	8.587	6	2007.5	2	2148.7	2	7.7716	25	2	NA	NA	9	16	2	1.06	2	8.1	2	0.21	2	1.27	2	0.06	NA	9	4.251	6	47200	2	3560	2	176	2	67.1	2	3030000	2	1920000	2	1420000	2	2.537472311	1.603220473			1000	NA	30	
E379	40104	2	40104	2	33RO20210613	WCOA2021	QC2	4	1	4	11058	2	1	1	6/25/21	2021	6	25	11:01:22 PM	176.959	6/25/21	3:01:22 PM	4:15:00 AM	9:02:00 PM	10.8	day	52.398	-129.051	45	10.2	10.1	34.9	12.86	30.403	2	NA	9	22.86	306	2	304.9	9.978	2	1869	2	2063.5	2	7.9199	25	2	NA	NA	9	11.9	2	0.53	2	1.4	2	0.08	2	0.06	2	0.15	4.3	3	4.808	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.345831841	2.117473363			1000	NA	10	
E380	40107	2	40106	2	33RO20210613	WCOA2021	QC2	4	1	7	11004	2	1	1	6/25/21	2021	6	25	11:04:40 PM	176.962	6/25/21	3:04:40 PM	4:15:00 AM	9:02:00 PM	10.8	day	52.398	-129.052	45	3.6	3.6	41.4	12.933	30.422	2	30.4146	2	22.86	306.3	2	302.5	9.901	6	1867.6	2	2060.7	2	7.9227	25	2	NA	NA	9	12	2	0.53	2	1.6	2	0.08	2	0.05	2	0.12	4.5	3	4.909	2	308000	2	53800	2	2390	2	87.7	2	5040000	2	2940000	2	3040000	2	3.360081683	2.12667211			1000	NA	3	
E381	50102	2	50101	2	33RO20210613	WCOA2021	QC18	5	1	2	11081	2	1	1	6/26/21	2021	6	26	1:07:45 AM	177.047	6/25/21	5:07:45 PM	4:17:00 AM	9:03:00 PM	12.8	day	52.249	-129.402	160	151.1	149.7	10.3	5.698	33.821	2	33.7985	2	26.66	93.5	2	97.1	3.19	6	2249.2	2	2271.8	2	7.3781	24.97	2	NA	NA	9	64.6	6	2.53	6	34.4	6	0.06	6	0.07	6	0.04	NA	9	3	6	1615	2	228	2	19	2	0	2	762000	2	600000	2	110000	2	1.139386832	0.719899918			1000	NA	160	
E382	50106	2	50105	2	33RO20210613	WCOA2021	QC18	5	1	6	11082	2	1	1	6/26/21	2021	6	26	1:16:20 AM	177.053	6/25/21	5:16:20 PM	4:17:00 AM	9:03:00 PM	13.0	day	52.249	-129.402	160	100.3	99.4	60.6	7.186	32.642	2	NA	9	25.54	206.8	2	212.3	6.966	2	2107.7	2	2194.6	6	7.5797	24.97	2	NA	NA	9	29.2	2	1.72	2	20.5	2	0.01	2	0.01	2	0.04	NA	9	3.792	2	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.79861042	1.135190798			1000	NA	100	
E383	50116	2	50115	2	33RO20210613	WCOA2021	QC18	5	1	16	11032	2	1	1	6/26/21	2021	6	26	1:36:22 AM	177.067	6/25/21	5:36:22 PM	4:17:00 AM	9:03:00 PM	13.3	day	52.248	-129.403	160	3.3	3.3	156.7	13.765	31.546	2	31.5465	2	23.57	304.6	2	305.7	10.011	6	1923.9	2	2138.2	2	7.9478	24.97	2	NA	NA	9	10.6	2	0.4	2	0	2	0.02	2	0.02	2	0.08	1.3	2	4.521	2	1180000	2	143000	2	204	2	0	2	7970000	2	5570000	2	1880000	2	3.664942273	2.33092968			1000	NA	3	
E384.3B	60101	2	60101	2	33RO20210613	WCOA2021	QC43	6	1	1	11031	2	1	1	6/26/21	2021	6	26	4:14:56 AM	177.177	6/25/21	8:14:56 PM	4:20:00 AM	9:04:00 PM	15.9	day	52.018	-129.971	130	120.9	119.8	10.2	6.648	33.286	2	NA	9	26.12	140.1	2	141.5	4.645	6	2191.8	2	2234.2	6	7.4485	25.04	2	NA	NA	9	47	2	2.21	2	28.7	2	0.07	2	0.07	2	0.04	NA	9	3.224	6	554	2	339	2	0	2	0	2	1050000	2	856000	2	105000	2	1.318488079	0.832924522			1000	NA	120	
E384.1T	60102	2	60101	2	33RO20210613	WCOA2021	QC43	6	1	2	11081	2	1	1	6/26/21	2021	6	26	4:15:01 AM	177.177	6/25/21	8:15:01 PM	4:20:00 AM	9:04:00 PM	15.9	day	52.018	-129.971	130	120.6	119.5	10.5	6.647	33.287	2	NA	9	26.12	140.1	2	141.5	4.645	6	2191.8	2	2234.2	6	7.4485	25.04	2	NA	NA	9	47	2	2.21	2	28.7	2	0.07	2	0.07	2	0.04	NA	9	3.224	6	554	2	339	2	0	2	0	2	1050000	2	856000	2	105000	2	1.318488079	0.832924522			1000	NA	120	
E384.2T	60102	2	60101	2	33RO20210613	WCOA2021	QC43	6	1	2	11081	2	1	1	6/26/21	2021	6	26	4:15:01 AM	177.177	6/25/21	8:15:01 PM	4:20:00 AM	9:04:00 PM	15.9	day	52.018	-129.971	130	120.6	119.5	10.5	6.647	33.287	2	NA	9	26.12	140.1	2	141.5	4.645	6	2191.8	2	2234.2	6	7.4485	25.04	2	NA	NA	9	47	2	2.21	2	28.7	2	0.07	2	0.07	2	0.04	NA	9	3.224	6	554	2	339	2	0	2	0	2	1050000	2	856000	2	105000	2	1.318488079	0.832924522			1000	NA	120	
E385.3T	60106	2	60105	2	33RO20210613	WCOA2021	QC43	6	1	6	11082	2	1	1	6/26/21	2021	6	26	4:25:13 AM	177.184	6/25/21	8:25:13 PM	4:20:00 AM	9:04:00 PM	16.1	day	52.018	-129.971	130	60.5	60	70.0	7.579	32.345	2	NA	9	25.25	223.5	2	225.4	7.394	2	2082.3	2	2175.3	2	7.6158	25.04	2	NA	NA	9	24.9	2	1.58	2	18.1	2	0.02	2	0.01	2	0.04	NA	9	4.003	2	2570	2	486	2	139	2	19.8	2	1350000	2	997000	2	380000	2	1.884010365	1.188407268			1000	NA	60	
E385.1T	60106	2	60105	2	33RO20210613	WCOA2021	QC43	6	1	6	11082	2	1	1	6/26/21	2021	6	26	4:25:13 AM	177.184	6/25/21	8:25:13 PM	4:20:00 AM	9:04:00 PM	16.1	day	52.018	-129.971	130	60.5	60	70.0	7.579	32.345	2	NA	9	25.25	223.5	2	225.4	7.394	2	2082.3	2	2175.3	2	7.6158	25.04	2	NA	NA	9	24.9	2	1.58	2	18.1	2	0.02	2	0.01	2	0.04	NA	9	4.003	2	2570	2	486	2	139	2	19.8	2	1350000	2	997000	2	380000	2	1.884010365	1.188407268			1000	NA	60	
E385.2T	60106	2	60105	2	33RO20210613	WCOA2021	QC43	6	1	6	11082	2	1	1	6/26/21	2021	6	26	4:25:13 AM	177.184	6/25/21	8:25:13 PM	4:20:00 AM	9:04:00 PM	16.1	day	52.018	-129.971	130	60.5	60	70.0	7.579	32.345	2	NA	9	25.25	223.5	2	225.4	7.394	2	2082.3	2	2175.3	2	7.6158	25.04	2	NA	NA	9	24.9	2	1.58	2	18.1	2	0.02	2	0.01	2	0.04	NA	9	4.003	2	2570	2	486	2	139	2	19.8	2	1350000	2	997000	2	380000	2	1.884010365	1.188407268			1000	NA	60	
E386.1B	60115	2	60114	2	33RO20210613	WCOA2021	QC43	6	1	15	11053	2	1	1	6/26/21	2021	6	26	4:38:37 AM	177.193	6/25/21	8:38:37 PM	4:20:00 AM	9:04:00 PM	16.3	day	52.017	-129.971	130	4.1	4.1	125.9	13.278	31.648	2	31.6426	3	23.74	289.3	2	293.1	9.6	6	1944.3	2	2142.8	6	7.9115	25.04	2	NA	NA	9	8.4	2	0.51	2	0.8	2	0.04	2	0.01	2	0.08	0.8	2	4.444	6	341500	2	59300	2	424	2	9.85	2	6010000	2	3050000	2	5620000	2	3.424274885	2.177101847			1000	NA	3	
E386.2B	60116	2	60114	2	33RO20210613	WCOA2021	QC43	6	1	16	11032	2	1	1	6/26/21	2021	6	26	4:38:42 AM	177.194	6/25/21	8:38:42 PM	4:20:00 AM	9:04:00 PM	16.3	day	52.017	-129.971	130	3.9	3.9	126.1	13.398	31.642	2	31.6426	3	23.71	288.3	2	293.1	9.6	6	1944.3	2	2142.8	6	7.9115	25.04	2	NA	NA	9	8.4	2	0.51	2	0.8	2	0.04	2	0.01	2	0.08	0.8	2	4.444	6	341500	2	59300	2	424	2	9.85	2	6010000	2	3050000	2	5620000	2	3.424274885	2.177101847			1000	NA	3	
E386.3B	60117	2	60114	2	33RO20210613	WCOA2021	QC43	6	1	17	11052	2	1	1	6/26/21	2021	6	26	4:38:46 AM	177.194	6/25/21	8:38:46 PM	4:20:00 AM	9:04:00 PM	16.3	day	52.017	-129.971	130	3.9	3.9	126.1	13.409	31.644	2	31.6426	3	23.71	288.3	2	293.1	9.6	6	1944.3	2	2142.8	6	7.9115	25.04	2	NA	NA	9	8.4	2	0.51	2	0.8	2	0.04	2	0.01	2	0.08	0.8	2	4.444	6	341500	2	59300	2	424	2	9.85	2	6010000	2	3050000	2	5620000	2	3.424274885	2.177101847			1000	NA	3	
E388.1B	70101	2	70101	2	33RO20210613	WCOA2021	BS64	7	1	1	11031	2	2	2	6/27/21	2021	6	27	12:51:28 PM	178.536	6/27/21	4:51:28 AM	4:28:00 AM	8:30:00 PM	0.4	day	48.185	-126.596	2478	2503.6	2467.9	10.1	1.777	34.636	2	NA	9	27.71	75.1	2	74.8	2.46	6	2395.9	2	2436.6	6	7.4395	24.95	2	65.87606053	24.98833333	2	192.7	2	2.94	2	38.3	2	0.02	2	0.01	2	0.04	NA	9	1.41	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.793057873	0.514300037			1000	NA	2450	
E388.2T	70102	2	70101	2	33RO20210613	WCOA2021	BS64	7	1	2	11081	2	2	2	6/27/21	2021	6	27	12:51:32 PM	178.536	6/27/21	4:51:32 AM	4:28:00 AM	8:30:00 PM	0.4	day	48.185	-126.596	2478	2503.5	2467.8	10.2	1.776	34.636	2	34.6382	2	27.71	74.8	2	74.8	2.46	6	2395.9	2	2436.6	6	7.4395	24.95	2	65.87606053	24.98833333	2	192.7	2	2.94	2	38.3	2	0.02	2	0.01	2	0.04	NA	9	1.41	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.793057873	0.514300037			1000	NA	2450	
E388.3T	70102	2	70101	2	33RO20210613	WCOA2021	BS64	7	1	2	11081	2	2	2	6/27/21	2021	6	27	12:51:32 PM	178.536	6/27/21	4:51:32 AM	4:28:00 AM	8:30:00 PM	0.4	day	48.185	-126.596	2478	2503.5	2467.8	10.2	1.776	34.636	2	34.6382	2	27.71	74.8	2	74.8	2.46	6	2395.9	2	2436.6	6	7.4395	24.95	2	65.87606053	24.98833333	2	192.7	2	2.94	2	38.3	2	0.02	2	0.01	2	0.04	NA	9	1.41	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	0.793057873	0.514300037			1000	NA	2450	
E389.1B	70110	2	70110	2	33RO20210613	WCOA2021	BS64	7	1	10	11067	2	2	2	6/27/21	2021	6	27	1:53:08 PM	178.579	6/27/21	5:53:08 AM	4:28:00 AM	8:30:00 PM	1.4	day	48.185	-126.59	2478	100.9	100	2378.0	7.685	32.861	2	NA	9	25.64	181.6	2	179	5.876	2	2137.6	2	2200.5	2	7.5268	24.95	2	68.79555415	24.98833333	2	29.4	2	1.85	2	20.2	2	0.02	2	0.01	2	0.04	NA	9	8.308	2	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.529330748	0.966441385			1000	NA	100	
E389.2T	70111	2	70110	2	33RO20210613	WCOA2021	BS64	7	1	11	11023	2	2	2	6/27/21	2021	6	27	1:53:12 PM	178.579	6/27/21	5:53:12 AM	4:28:00 AM	8:30:00 PM	1.4	day	48.185	-126.59	2478	101	100.1	2377.9	7.682	32.858	2	NA	9	25.64	181.6	2	179	5.876	2	2137.6	2	2200.5	2	7.5268	24.95	2	68.79555415	24.98833333	2	29.4	2	1.85	2	20.2	2	0.02	2	0.01	2	0.04	NA	9	8.308	2	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.529330748	0.966441385			1000	NA	100	
E389.3T	70111	2	70110	2	33RO20210613	WCOA2021	BS64	7	1	11	11023	2	2	2	6/27/21	2021	6	27	1:53:12 PM	178.579	6/27/21	5:53:12 AM	4:28:00 AM	8:30:00 PM	1.4	day	48.185	-126.59	2478	101	100.1	2377.9	7.682	32.858	2	NA	9	25.64	181.6	2	179	5.876	2	2137.6	2	2200.5	2	7.5268	24.95	2	68.79555415	24.98833333	2	29.4	2	1.85	2	20.2	2	0.02	2	0.01	2	0.04	NA	9	8.308	2	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	1.529330748	0.966441385			1000	NA	100	
E390.1B	70122	2	70121	2	33RO20210613	WCOA2021	BS64	7	1	22	11024	2	2	2	6/27/21	2021	6	27	2:11:17 PM	178.591	6/27/21	6:11:17 AM	4:28:00 AM	8:30:00 PM	1.7	day	48.185	-126.588	2478	3.8	3.8	2474.2	15.047	32.001	2	NA	9	23.59	270.4	2	273.9	8.97	6	1964.6	2	2154.9	6	7.8887	24.95	2	132.340081	24.98833333	2	2.9	2	0.46	2	0	2	0.02	2	0.09	2	0.05	0.2	2	3.613	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.317861505	2.118170548			1000	NA	3	
E390.2B	70123	2	70121	2	33RO20210613	WCOA2021	BS64	7	1	23	11061	2	2	2	6/27/21	2021	6	27	2:11:20 PM	178.591	6/27/21	6:11:20 AM	4:28:00 AM	8:30:00 PM	1.7	day	48.185	-126.588	2478	3.9	3.9	2474.1	15.053	31.999	2	NA	9	23.59	270.4	2	273.9	8.97	6	1964.6	2	2154.9	6	7.8887	24.95	2	132.340081	24.98833333	2	2.9	2	0.46	2	0	2	0.02	2	0.09	2	0.05	0.2	2	3.613	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.317861505	2.118170548			1000	NA	3	
E390.3B	70124	2	70121	2	33RO20210613	WCOA2021	BS64	7	1	24	11001	2	2	2	6/27/21	2021	6	27	2:11:24 PM	178.591	6/27/21	6:11:24 AM	4:28:00 AM	8:30:00 PM	1.7	day	48.185	-126.588	2478	3.9	3.8	2474.2	15.059	31.989	2	31.9439	2	23.59	269.2	2	273.9	8.97	6	1964.6	2	2154.9	6	7.8887	24.95	2	132.340081	24.98833333	2	2.9	2	0.46	2	0	2	0.02	2	0.09	2	0.05	0.2	2	3.613	6	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	NA	9	3.317861505	2.118170548			1000	NA	3	
