EXPOCODE,Cruise_ID,Section_ID,Station_ID,Cast_number,Rosette_Position,Niskin_ID,Niskin_flag,Sample_ID,Salinity_in,t_in,P_in,Total_P_in,Total_Si_in ,t_out,P_out,TA_data,TCO2_data,pH_data,fCO2_data,pCO2_data,pH Scale:,CO2 Constants:,KSO4 Source:,Total Boron Source:,Salinity_results_input_conditions,t_results_input_conditions,p_results_input_conditions,Total_P_results_input_conditions,Total_Si_results_input_conditions,TA_results_input_conditions,TCO2_results_input_conditions,pH_results_input_conditions,fCO2_results_input_conditions,pCO2_results_input_conditions,HCO3_results_input_conditions,CO3_results_input_conditions,CO2_results_input_conditions,B_Alk_results_input_conditions,OH_results_input_conditions,P_Alk_results_input_conditions,Si_Alk_results_input_conditions,Revelle_results_input_conditions,WCa_results_input_conditions,WAr_results_input_conditions,xCO2_results_input_conditions,t_results_output_conditions,P_results_output_conditions,pH_results_output_conditions,fCO2_results_output_conditions,pCO2_results_output_conditions,HCO3_results_output_conditions,CO3_results_output_conditions,CO2_results_output_conditions,B_Alk_results_output_conditions,OH_results_output_conditions,P_Alk_results_output_conditions,Si_Alk_results_output_conditions,Revelle_results_output_conditions,WCa_results_output_conditions,WAr_results_output_conditions,xCO2_results_output_conditions
n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,psu,oC,dbars, mmol/kgSW,mmol/kgSW,˚C,dbars,mmol/kgSW,mmol/kgSW,Chosen Scale, matm, matm,n.a.,n.a.,n.a.,n.a.,Salinity,˚C,dbars,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,pH,matm,matm,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,Revelle,Wca,War,xCO2,˚C,dbars,pH,matm,matm,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,mmol/kgSW,Revelle,Wca,War,dry at 1 atm (ppm)
n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,INPUT CONDITIONS,INPUT CONDITIONS,INPUT CONDITIONS,INPUT CONDITIONS,INPUT CONDITIONS,OUTPUT CONDITIONS,OUTPUT CONDITIONS,DATA (leave empty if no data),DATA (leave empty if no data),DATA (leave empty if no data),DATA (leave empty if no data),DATA (leave empty if no data),SCALES and CONSTANTS,SCALES and CONSTANTS,SCALES and CONSTANTS,SCALES and CONSTANTS,RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Input Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions),RESULTS (Output Conditions)
33RO20210613,WCOA2021,C19,41,1,9,12052,2,410109,32.716,9.160,20.4,,,9.160,20.4,2214.1,2139.2,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2669",Dickson ,"Uppstrom, 2656",32.7159996,9.159999847,20.39999962,0,0,2214.100098,2139.199951,7.790429592,723.1530151,725.9785156,2034.065066,72.07087134,33.0640534,35.10736627,0.802533379,0,0,17.15976622,1.73343166,1.096524588,734.2306446,9.159999847,20.39999962,7.790429422,723.1530208,725.9785591,2034.065066,72.07087134,33.0640534,35.10736627,0.802533379,0,0,17.15976622,1.73343166,1.096524588,734.2306844
33RO20210613,WCOA2021,C19,41,1,10,11067,2,410110,32.426,11.163,15.0,,,11.163,15.0,-999.0,2068.6,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2670",Dickson ,"Uppstrom, 2657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,C19,41,1,11,11023,2,410111,31.657,16.307,10.2,,,16.307,10.2,2185.0,1909.4,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2671",Dickson ,"Uppstrom, 2658",31.65699959,16.30699921,10.19999981,0,0,2185,1909.400024,8.187422752,257.1390381,258.0556335,1705.647101,194.3168334,9.436052558,86.73023456,3.99572769,0,0,9.947397822,4.731107636,3.026561266,262.7776462,16.30699921,10.19999981,8.187422516,257.1390333,258.0556246,1705.647101,194.3168334,9.436052558,86.73023456,3.99572769,0,0,9.947397822,4.731107636,3.026561266,262.7776388
33RO20210613,WCOA2021,C19,41,1,12,11026,2,410112,31.588,16.858,3.4,,,16.858,3.4,2180.1,1888.8,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2672",Dickson ,"Uppstrom, 2659",31.58799934,16.8579998,3.400000095,0,0,2180.100098,1888.800049,8.209541321,241.1682892,242.0220032,1675.415164,204.6745916,8.71030793,90.91764578,4.424488676,0,0,9.633430724,4.994118276,3.19799495,246.6117785,16.8579998,3.400000095,8.209541447,241.1683015,242.0220009,1675.415164,204.6745916,8.71030793,90.91764578,4.424488676,0,0,9.633430724,4.994118276,3.19799495,246.6117823
33RO20210613,WCOA2021,C19,41,1,13,11054,2,410113,31.590,16.844,3.7,,,16.844,3.7,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2673",Dickson ,"Uppstrom, 2660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,C19,41,1,14,11011,2,410114,31.591,16.834,3.2,,,16.834,3.2,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2674",Dickson ,"Uppstrom, 2661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,C8,42,1,1,11031,2,420101,33.715,7.467,40.7,,,7.467,40.7,2250.5,2269.6,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2675",Dickson ,"Uppstrom, 2662",33.71500015,7.467000008,40.70000076,0,0,2250.5,2269.600098,7.483322144,1528.920654,1535.02832,2159.830305,36.14586108,73.62388628,18.07369531,0.337749965,0,0,18.30693362,0.861214247,0.544630963,1550.553949,7.467000008,40.70000076,7.483322212,1528.92066,1535.028379,2159.830305,36.14586108,73.62388628,18.07369531,0.337749965,0,0,18.30693362,0.861214247,0.544630963,1550.553993
33RO20210613,WCOA2021,C8,42,1,2,11081,2,420102,33.718,7.456,40.8,,,7.456,40.8,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2676",Dickson ,"Uppstrom, 2663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,C8,42,1,3,11020,2,420103,33.527,7.839,29.9,,,7.839,29.9,2216.7,2238.2,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2677",Dickson ,"Uppstrom, 2664",33.52700043,7.839000225,29.89999962,0,0,2216.699951,2238.199951,7.470074654,1560.920044,1567.125244,2129.007193,34.90268677,74.29016646,17.58262267,0.339297228,0,0,18.17882961,0.834156582,0.527546448,1583.389089,7.839000225,29.89999962,7.470074626,1560.920087,1567.125266,2129.007193,34.90268677,74.29016646,17.58262267,0.339297228,0,0,18.17882961,0.834156582,0.527546448,1583.389153
33RO20210613,WCOA2021,C8,42,1,4,11058,2,420104,32.259,11.911,20.5,,,11.911,20.5,2196.2,2067.2,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2678",Dickson ,"Uppstrom, 2665",32.25899887,11.91100025,20.5,0,0,2196.199951,2067.199951,7.917007923,527.6716309,529.6611938,1943.400721,101.6966958,22.10249184,48.0091149,1.409065549,0,0,14.57457504,2.454320706,1.558388486,536.9132623,11.91100025,20.5,7.91700776,527.6716478,529.661157,1943.400721,101.6966958,22.10249184,48.0091149,1.409065549,0,0,14.57457504,2.454320706,1.558388486,536.9132263
33RO20210613,WCOA2021,C8,42,1,5,11008,2,420105,32.268,11.860,20.4,,,11.860,20.4,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2679",Dickson ,"Uppstrom, 2666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,C8,42,1,6,11082,2,420106,32.276,11.838,20.2,,,11.838,20.2,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2680",Dickson ,"Uppstrom, 2667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,C8,42,1,7,11004,2,420107,31.702,13.991,14.5,,,13.991,14.5,2168.0,1970.8,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2681",Dickson ,"Uppstrom, 2668",31.70199966,13.99100018,14.5,0,0,2168,1970.800049,8.065415382,356.2231445,357.5308533,1813.897182,142.8835472,14.01937622,65.93177874,2.412689212,0,0,11.89065578,3.467998987,2.207846231,363.153095,13.99100018,14.5,8.065414989,356.2231576,357.5308758,1813.897182,142.8835472,14.01937622,65.93177874,2.412689212,0,0,11.89065578,3.467998987,2.207846231,363.1531054
33RO20210613,WCOA2021,C8,42,1,8,11027,2,420108,30.456,15.983,10.2,,,15.983,10.2,2120.9,1868.7,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2682",Dickson ,"Uppstrom, 2669",30.45599937,15.9829998,10.19999981,0,0,2120.899902,1868.699951,8.175147057,261.6362305,262.5726624,1680.650144,178.2906174,9.759149081,79.99075501,3.684645691,0,0,10.29319936,4.372529284,2.78578293,267.2803497,15.9829998,10.19999981,8.175147486,261.6362053,262.5726593,1680.650144,178.2906174,9.759149081,79.99075501,3.684645691,0,0,10.29319936,4.372529284,2.78578293,267.280346
33RO20210613,WCOA2021,C8,42,1,9,12052,2,420109,26.811,16.816,3.2,,,16.816,3.2,1986.8,1705.7,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2683",Dickson ,"Uppstrom, 2670",26.81100082,16.81599998,3.200000048,0,0,1986.800049,1705.699951,8.298259735,181.2635803,181.9055634,1501.096042,197.873644,6.730263168,85.03213375,4.929657253,0,0,9.417031557,4.975327474,3.13467371,185.3550373,16.81599998,3.200000048,8.298259916,181.2635688,181.9055547,1501.096042,197.873644,6.730263168,85.03213375,4.929657253,0,0,9.417031557,4.975327474,3.13467371,185.3550304
33RO20210613,WCOA2021,C8,42,1,10,11067,2,420110,27.149,16.831,4.2,,,16.831,4.2,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2684",Dickson ,"Uppstrom, 2671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,C8,42,1,11,11023,2,420111,26.884,16.838,3.7,,,16.838,3.7,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2685",Dickson ,"Uppstrom, 2672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33RO20210613,WCOA2021,C2.5,43,1,1,11031,2,430101,31.424,14.674,17.6,,,14.674,17.6,2139.7,1928.5,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2686",Dickson ,"Uppstrom, 2673",31.42399979,14.67399979,17.60000038,0,0,2139.699951,1928.5,8.09354496,326.6835938,327.872467,1764.630468,151.2602817,12.60926629,69.81791193,2.739153353,0,0,11.37688306,3.677732311,2.343084231,333.266092,14.67399979,17.60000038,8.093544784,326.6835892,327.8724637,1764.630468,151.2602817,12.60926629,69.81791193,2.739153353,0,0,11.37688306,3.677732311,2.343084231,333.2660942
33RO20210613,WCOA2021,C2.5,43,1,2,11081,2,430102,31.377,14.855,17.6,,,14.855,17.6,-999.0,-999.0,,,,Seawater scale (mol/kg-SW) ," K1, K2 from Mehrbach et al., 1973 refit by Dickson and Millero, 2687",Dickson ,"Uppstrom, 2674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
