Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
E691.1B	37.943	-122.881	E691	PR4	NA	Line11	night	undersat_arg	benthic	upper100	waySouth	near	shelf	44.5	10.5	4	1.1	9.455	33.95	81.4	2222.2	2260.3	7.4157	NA	42.6	2.52	26.6	0.54	1.77	7.723	0.845041758	37.943	NA	NA	NA	NA	NA	NA	NA	NA	1000
E691.2B	37.943	-122.881	E691	PR4	NA	Line11	night	undersat_arg	benthic	upper100	waySouth	near	shelf	44.2	10.8	4	1.1	9.46	33.948	82.9	2222.2	2260.3	7.4157	NA	42.6	2.52	26.6	0.54	1.77	7.723	0.845041758	37.943	NA	NA	NA	NA	NA	NA	NA	NA	1000
E691.3B	37.943	-122.881	E691	PR4	NA	Line11	night	undersat_arg	benthic	upper100	waySouth	near	shelf	44.3	10.7	4	1.1	9.453	33.95	81.2	2222.2	2260.3	7.4157	NA	42.6	2.52	26.6	0.54	1.77	7.723	0.845041758	37.943	NA	NA	NA	NA	NA	NA	NA	NA	1000
E694.1B	37.861	-123.071	E694	PR15	NA	Line11	night	undersat_arg	benthic	upper100	waySouth	near	shelf	84.8	10.2	15	7.7	9.413	33.976	99.9	2212.7	2258	7.4459	NA	38.4	2.25	26.8	0.12	0.06	9.863	0.881567801	37.861	NA	NA	NA	NA	NA	NA	NA	NA	1000
E694.2B	37.861	-123.071	E694	PR15	NA	Line11	night	undersat_arg	benthic	upper100	waySouth	near	shelf	84.4	10.6	15	7.7	9.414	33.976	100.9	2212.7	2258	7.4459	NA	38.4	2.25	26.8	0.12	0.06	9.863	0.881567801	37.861	NA	NA	NA	NA	NA	NA	NA	NA	1000
E694.3B	37.861	-123.071	E694	PR15	NA	Line11	night	undersat_arg	benthic	upper100	waySouth	near	shelf	84.6	10.4	15	7.7	9.413	33.976	99.8	2212.7	2258	7.4459	NA	38.4	2.25	26.8	0.12	0.06	9.863	0.881567801	37.861	NA	NA	NA	NA	NA	NA	NA	NA	1000
E707	37.892	-122.441	E707	CMAP_CO2_Buoy	NA	Line12	day	oversat_arg	benthic	upper100	waySouth	near	bay	18.3	9.7	0	5.9	18.228	31.318	215.1	2165.6	2294.8	7.7134	NA	48.1	3.2	16.5	1.18	7.8	44.941	1.66287188	37.892	NA	NA	NA	NA	NA	NA	NA	NA	750
E713	37.81	-122.516	E713	GGTX5	NA	Line12	day	oversat_arg	benthic	upper100	waySouth	near	shelf	31.6	10.4	0	8.7	15.009	33.224	223.9	2150.4	2285.4	7.7097	103.4150143	25.6	1.92	14.4	0.88	5.52	18.895	1.642623218	37.81	NA	NA	NA	NA	NA	NA	NA	NA	1000
E716	37.793	-122.562	E716	GGTX4	NA	Line12	day	oversat_arg	benthic	upper100	waySouth	near	shelf	18.2	9.8	3	9.8	12.564	33.655	180.6	2167.6	2272.3	7.6177	89.98927508	25.1	1.85	17.1	0.83	3.79	15.311	1.358046935	37.793	9.2	NA	NA	NA	NA	NA	NA	NA	1000
E721	37.718	-122.815	E721	GGTX2	NA	Line12	day	undersat_arg	benthic	upper100	waySouth	near	shelf	50.3	10.7	13	13	9.53	33.943	94.8	2225	2254.7	7.4042	55.99733282	43.8	2.51	27.3	0.37	0.06	10.124	0.792577675	37.718	NA	NA	NA	NA	NA	NA	NA	NA	1000
E725.1B	37.658	-122.997	E725	GGTX1	NA	Line12	night	undersat_arg	benthic	upper100	waySouth	offshore	shelf	79.6	10.4	28	0.2	9.466	33.963	85.3	2229.3	2253.4	7.3914	54.27368486	45	2.58	28	0.14	0.02	10.891	0.755414351	37.658	NA	NA	NA	NA	NA	NA	NA	NA	1000
E750	36.758	-121.927	E750	ML8	NA	Line13	day	undersat_arg	benthic	upper100	waySouth	near	shelf	99.4	10.6	8	8	9.719	33.976	102	2205.8	2253.2	7.4648	62.87841493	30.9	2.11	25.4	0.16	0.03	18.076	0.892674373	36.758	NA	NA	NA	NA	NA	NA	NA	NA	1000
E758	36.809	-121.818	E758	ML1	NA	Line13	day	undersat_arg	benthic	upper100	waySouth	near	shelf	31.7	10.3	1	11.8	10.547	33.916	131.1	2192.3	2258.3	7.5088	71.52042536	28.4	2	22.5	0.75	0.63	24.491	1.037955971	36.809	NA	NA	NA	NA	NA	NA	NA	NA	1000
E761	36.783	-121.871	E761	ML5	NA	Line13	day	undersat_arg	benthic	deep	waySouth	near	shelf	133.7	10.3	5	13.4	9.881	33.96	107.2	2208.8	2256.5	7.466	64.69750002	31.7	2.17	25.6	0.12	0.02	24.491	0.890928999	36.783	NA	NA	NA	NA	NA	NA	NA	NA	1000
E768.1B	36.736	-121.968	E768	ML11	NA	Line13	night	undersat_arg	benthic	deep	waySouth	near	slope	110.9	10.1	11	0.7	10.051	33.923	113.6	2196.2	2249.9	7.4934	69.74378349	26.9	1.96	23.9	0.02	0.01	19.98	0.932681149	36.736	NA	NA	NA	NA	NA	NA	NA	NA	1000
E773	35.631	-121.292	E773	CC73_3_50	NA	Line14	day	undersat_arg	benthic	upper100	waySouth	near	shelf	77.9	10.1	2.5	3.8	10.794	33.81	136.6	2167.4	2240.6	7.5537	75.00990784	22.2	1.71	20.1	0.18	0.01	27.504	1.075712045	35.631	NA	NA	NA	NA	NA	NA	NA	NA	1000
E811.1B	34.448	-120.523	E811	CC80_51	NA	Line15	night	undersat_arg	benthic	upper100	waySouth	near	shelf	66.2	9.8	3	8	10.568	33.762	143	2157.4	2233.4	7.5695	78.60678819	20.2	1.64	19	0.1	0.03	102.809	1.094108518	34.448	NA	NA	NA	NA	NA	NA	NA	NA	1000
E811.2B	34.448	-120.523	E811	CC80_51	NA	Line15	night	undersat_arg	benthic	upper100	waySouth	near	shelf	66.4	9.6	3	8	10.568	33.762	143	2157.4	2233.4	7.5695	78.60678819	20.2	1.64	19	0.1	0.03	103.578	1.094108518	34.448	NA	NA	NA	NA	NA	NA	NA	NA	1000
E811.3B	34.448	-120.523	E811	CC80_51	NA	Line15	night	undersat_arg	benthic	upper100	waySouth	near	shelf	66.3	9.7	3	8	10.567	33.763	142.7	2157.4	2233.4	7.5695	78.60678819	20.2	1.64	19	0.1	0.03	102.809	1.094108518	34.448	NA	NA	NA	NA	NA	NA	NA	NA	1000
E824	34.471	-120.492	E824	CC80_50_5	NA	Line15	day	oversat_arg	benthic	upper100	waySouth	near	shelf	22.1	9.9	1	4.1	13.893	33.569	226.9	2058.4	2231.9	7.8297	132.2039832	5.3	0.66	3.4	0.22	0.37	566.671	1.947100584	34.471	NA	NA	NA	NA	NA	NA	NA	NA	1000
E829	34.381	-120.284	E829	SB2	NA	Line16	day	undersat_arg	pelagic	deep	waySouth	near	slope	248.3	39.7	5	11.9	9.088	34.128	70	2236.8	2262.7	7.414	57.81133496	37.9	2.36	27.6	0.02	0.02	72.504	0.740552474	34.381	NA	NA	NA	NA	NA	NA	NA	NA	1000
E840	34.312	-120.126	E840	SB3	NA	Line16	night	undersat_arg	pelagic	deep	waySouth	near	slope	199	325	11	0.2	9.292	34.072	85.8	2220.6	2251	7.4472	62.18590431	33.5	2.18	26.1	0.01	0.03	34.197	0.770435677	34.312	NA	NA	NA	NA	NA	NA	NA	NA	1000
E846	34.276	-120.021	E846	SB4	NA	Line16	night	oversat_arg	pelagic	deep	waySouth	near	slope	520.8	55.2	11	2.3	6.641	34.248	3.7	2337.3	NA	7.2714	46.23714036	99.1	3.56	24.2	0.02	0.02	3.475	NA	34.276	NA	NA	NA	NA	NA	NA	NA	NA	1000
E852	34.276	-120.021	E852	SB4	NA	Line16	night	undersat_arg	pelagic	deep	waySouth	near	slope	199.1	376.9	11	2.8	8.939	34.161	62.3	2243.9	2268	7.4029	57.01245956	40.6	2.42	28.4	0.05	0.02	27.799	0.73877866	34.276	NA	NA	NA	NA	NA	NA	NA	NA	1000
E856	33.993	-119.371	E856	Anacapa	NA	Line16	day	undersat_arg	benthic	upper100	waySouth	near	shelf	81.9	10.1	13	9.6	10.322	33.771	144.4	2151.6	2235.1	7.5864	81.11795174	18.6	1.55	18	0.04	0.04	4.935	1.14430607	33.993	NA	NA	NA	NA	NA	NA	NA	NA	1000
E860.1B	34.078	-119.557	E860	SCORP	NA	Line16	night	undersat_arg	benthic	upper100	waySouth	offshore	shelf	78.7	10.3	18	8.4	10.493	33.797	132.4	2162.5	2232.9	7.5616	78.26457767	20.7	1.43	14.8	0.16	0.02	16.84	1.0504168	34.078	NA	NA	NA	NA	NA	NA	NA	NA	1000
E860.2B	34.078	-119.557	E860	SCORP	NA	Line16	night	undersat_arg	benthic	upper100	waySouth	offshore	shelf	78.8	10.2	18	8.4	10.487	33.798	132.4	2162.5	2232.9	7.5616	78.26457767	20.7	1.43	14.8	0.16	0.02	18.31	1.0504168	34.078	NA	NA	NA	NA	NA	NA	NA	NA	1000
E860.3B	34.078	-119.557	E860	SCORP	NA	Line16	night	undersat_arg	benthic	upper100	waySouth	offshore	shelf	78.9	10.1	18	8.4	10.487	33.798	132.4	2162.5	2232.9	7.5616	78.26457767	20.7	1.43	14.8	0.16	0.02	16.84	1.0504168	34.078	NA	NA	NA	NA	NA	NA	NA	NA	1000
E872.1B	33.484	-117.768	E872	CC90_28	NA	Line17	night	oversat_arg	benthic	upper100	waySouth	near	shelf	53.4	9.6	2	5.1	10.909	33.655	159.3	2140.3	2233.9	7.6053	85.58482991	15.4	1.42	16.4	0.08	0.05	9.089	1.232457412	33.484	NA	NA	NA	NA	NA	NA	NA	NA	1000
E872.2B	33.484	-117.768	E872	CC90_28	NA	Line17	night	oversat_arg	benthic	upper100	waySouth	near	shelf	53.3	9.7	2	5.1	10.909	33.656	159.3	2140.3	2233.9	7.6053	85.58482991	15.4	1.42	16.4	0.08	0.05	7.852	1.232457412	33.484	NA	NA	NA	NA	NA	NA	NA	NA	1000
E872.3B	33.484	-117.768	E872	CC90_28	NA	Line17	night	oversat_arg	benthic	upper100	waySouth	near	shelf	53.2	9.8	2	5.1	10.91	33.655	159.3	2140.3	2233.9	7.6053	85.58482991	15.4	1.42	16.4	0.08	0.05	9.089	1.232457412	33.484	NA	NA	NA	NA	NA	NA	NA	NA	1000
E875	33.491	-117.751	E875	CC90_27_7	NA	Line17	day	oversat_arg	benthic	upper100	waySouth	near	shelf	31.5	10.5	0.5	1.8	12.606	33.514	206.5	2099.3	2244	7.7485	111.1724287	7.6	0.93	6.8	0.5	2.02	26.563	1.680256663	33.491	NA	NA	NA	NA	NA	NA	NA	NA	1000
POSITIVE	NA	NA	POSITIVE	NA	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
