Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
E446.3B.PCR1	47.954	-124.907	E446	ChaBa	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	76.5	10.5	12	5	7.338	33.722	75.7	2246.1	2255.2	7.3319	47.36849361	53.7	2.56	31.7	0.26	0.96	263.747	0.664148655	47.954	1.3	NA	NA	NA	NA	NA	NA	NA	1000
E449.1B.PCR1	47.946	-124.746	E449	Sokul	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	25.7	10.3	3	7.4	8.269	33.447	50.3	2265.1	2251.8	7.2534	39.79331726	51.3	2.71	25.6	0.5	5.15	65.973	0.57135021	47.946	NA	NA	NA	NA	NA	NA	NA	NA	1000
E449.2B.PCR1	47.946	-124.746	E449	Sokul	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	25.3	10.7	3	7.4	8.274	33.443	50.3	2265.1	2251.8	7.2534	39.79331726	51.3	2.71	25.6	0.5	5.15	65.973	0.57135021	47.946	NA	13200	8360	796	0	3900000	2270000	1390000	1000
E449.3B.PCR1	47.946	-124.746	E449	Sokul	NA	Line0	night	undersat_arg	benthic	upper100	OCNMS	near	shelf	26	10	3	7.4	8.265	33.452	48.5	2265.1	2251.8	7.2534	39.79331726	51.3	2.71	25.6	0.5	5.15	65.973	0.57135021	47.946	NA	NA	NA	NA	NA	NA	NA	NA	1000
E451	47.68	-125.579	E451	JF54	NA	Line3	day	undersat_arg	benthic	deep	offshoreW	offshore	slope	1232.8	10.2	54	4	3.268	34.452	19.4	2380	2379.4	7.312	48.17089626	140.2	3.23	43.5	0.02	0.04	3.856	0.493220398	47.68	NA	NA	NA	NA	NA	NA	NA	NA	1000
E455	47.638	-124.487	E455	Kalaloch	NA	Line0	day	oversat_arg	benthic	upper100	OCNMS	near	shelf	14	10	5	9.3	12.333	32.278	410.1	1849.6	2209.6	8.1863	238.7920743	0.3	0.08	0	0.03	0.1	12.879	3.761332959	47.638	5.1	16950	5240	1390	0	6110000	4150000	1520000	1000
E458.1B	46.13	-124.909	E458	CR40	NA	Line5	night	undersat_arg	benthic	deep	southBound	offshore	slope	1288.1	9.9	40	6	3.04	34.481	25.4	2380.7	2386.7	7.3224	49.87872962	146.6	3.23	43.3	0.15	0.04	12.332	0.512115668	46.13	NA	NA	NA	NA	NA	NA	NA	NA	1000
E467	46.243	-124.118	E467	CR0	NA	Line5	day	oversat_arg	benthic	upper100	southBound	near	river	12.8	10.2	0	6	15.78	29.081	296.6	1816.5	2038.3	8.04	136.4775248	11.5	0.21	0	0.16	0.08	18.44	2.436463131	46.243	6.9	NA	NA	NA	NA	NA	NA	NA	1000
E471	46.251	-124.003	E471	CR1	NA	Line5	day	undersat_arg	benthic	upper100	southBound	near	river	14.1	9.9	1	7.3	18.775	9.736	269.9	1272.5	1198	7.8126	NA	143.1	0.6	5.6	0.29	1.6	101.507	0.127096896	46.251	4.9	NA	NA	NA	NA	NA	NA	NA	750
E472	46.193	-123.914	E472	CR2	NA	Line5	day	oversat_arg	benthic	upper100	southBound	near	river	10.6	10.4	2	9.8	20.082	5.311	272.2	1069	NA	7.6363	NA	149.1	0.53	4.9	0.3	1.24	193.64	NA	46.193	NA	NA	NA	NA	NA	NA	NA	NA	1000
E475.PCR1	46.131	-124.031	E475	CR3	NA	Line5	day	oversat_arg	benthic	upper100	southBound	near	shelf	19.7	10.3	3	12.3	14.011	31.508	323.9	1904.1	2168.5	8.0395	172.1616372	0.7	0.29	0	0.16	0.15	18.547	2.829170975	46.131	10.2	30600	2930	1170	23.2	1800000	790000	764000	1000
E486.PCR1	46.129	-124.269	E486	CR13	NA	Line5	day	undersat_arg	benthic	upper100	southBound	near	shelf	87.7	10.3	13	14.9	7.339	33.924	60.7	2266.1	2264.4	7.3073	44.58670897	59.2	2.65	32.9	0.14	0.01	7.367	0.614098098	46.129	NA	NA	NA	NA	NA	NA	NA	NA	1000
E492.1B.PCR1	46.129	-124.526	E492	CR24	NA	Line5	night	undersat_arg	benthic	deep	southBound	offshore	shelf	131	10	24	1	6.743	33.992	37	2288.7	2275.9	7.2632	42.05407508	66.7	2.89	35.7	0.34	0.01	10.881	0.560668111	46.129	NA	NA	NA	NA	NA	NA	NA	NA	1000
E499	46.128	-124.669	E499	CR30	NA	Line5	night	undersat_arg	benthic	deep	southBound	offshore	shelf	345.2	9.8	30	6.3	6.461	34.014	40.3	2291.1	2280.9	7.2815	43.24387721	67.9	2.91	36.3	0.48	0.07	30.996	0.546329388	46.128	NA	NA	NA	NA	NA	NA	NA	NA	1000
E501	46.127	-124.67	E501	CR30	NA	Line5	night	undersat_arg	pelagic	deep	southBound	offshore	shelf	199.4	155.6	30	6.4	6.609	33.998	39.1	2289.5	2279.1	7.2701	42.24564829	65.7	2.9	36.5	0.38	0.01	26.73	0.562826392	46.127	NA	NA	NA	NA	NA	NA	NA	NA	1000
E506	46.128	-125.189	E506	CR50	NA	Line5	day	undersat_arg	benthic	deep	southBound	offshore	slope	1350.6	10.4	50	1.6	2.923	34.488	27.1	2384	2391.9	7.3244	50.79059462	149.3	3.22	43.5	0.04	0.05	3.778	0.513058281	46.128	NA	NA	NA	NA	NA	NA	NA	NA	1000
E516	47.118	-126.087	E516	C77	NA	Line4	day	undersat_arg	benthic	deep	offshoreW	offshore	plain	2471.9	10.1	77	10.8	1.762	34.637	76.6	2391.6	2437.5	7.4456	NA	192.2	3	39.6	0.04	0.04	1.671	0.533394261	47.118	NA	NA	NA	NA	NA	NA	NA	NA	1000
E520.1B	47.116	-125.197	E520	C41	NA	Line4	night	undersat_arg	benthic	deep	offshoreW	offshore	slope	1548	10	41	1.3	2.559	34.53	37.8	2389.6	2401.5	7.3506	NA	158.8	3.16	43	0	0.05	3.165	0.50611351	47.116	NA	NA	NA	NA	NA	NA	NA	NA	1000
E524	47.116	-125.054	E524	C35	NA	Line4	night	undersat_arg	benthic	deep	offshoreW	offshore	slope	1077	12	35	6.8	3.558	34.408	18	2371.7	2370.6	7.3099	NA	131.1	3.25	43.6	0	0.02	6.49	0.507499741	47.116	NA	NA	NA	NA	NA	NA	NA	NA	1000
E528	47.115	-124.982	E528	C32	NA	Line4	day	undersat_arg	benthic	deep	OCNMS	offshore	slope	391.6	11.4	32	1	6.161	34.028	58.8	2279.1	2285.7	7.3322	NA	66	2.73	36.5	0.09	0.07	9.247	0.613153462	47.115	NA	NA	NA	NA	NA	NA	NA	NA	1000
E529	47.115	-124.982	E529	C32	NA	Line4	day	undersat_arg	pelagic	deep	OCNMS	offshore	slope	298.4	104.6	32	1.1	6.594	33.992	65.9	2266.6	2277.2	7.3389	NA	60.4	2.64	34.8	0.1	0.08	12.396	0.644068078	47.115	NA	NA	NA	NA	NA	NA	NA	NA	1000
E532	47.113	-124.824	E532	C26	NA	Line4	day	undersat_arg	benthic	deep	OCNMS	offshore	shelf	130.1	9.9	26	3	6.734	33.972	44.3	2282.6	2277	7.2801	NA	67.2	2.81	34.9	0.37	0.07	55.814	0.591898632	47.113	NA	926	808	61.4	0	1210000	875000	174000	1000
E536	47.116	-124.645	E536	C19	NA	Line4	day	undersat_arg	benthic	upper100	OCNMS	offshore	shelf	82.8	10.2	19	5	7.141	33.923	47.5	2278	2266.8	7.273	NA	64	2.74	33.7	0.15	0.08	46.176	0.572341879	47.116	NA	5420	695	145	0	1240000	872000	203000	1000
