Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
3,2.98,18.7953,33.8049,24.1598,5.65,246.36,0.046,162.9,99.7
4,3.97,18.8058,33.8049,24.1572,5.66,246.7,0.048,162.72,99.7
5,4.96,18.8056,33.805,24.1573,5.66,246.89,0.047,162.51,99.7
6,5.96,18.8005,33.805,24.1586,5.67,247.24,0.048,162.45,99.7
7,6.95,18.8,33.8048,24.1587,5.66,246.99,0.049,162.37,99.69
8,7.94,18.7927,33.8046,24.1604,5.68,247.52,0.049,162.35,99.7
9,8.94,18.6087,33.7913,24.1964,5.74,250.14,0.049,162.34,99.7
10,9.93,18.2881,33.7909,24.2758,5.74,250.21,0.053,162.34,99.7
11,10.92,17.6235,33.7692,24.4215,5.94,258.87,0.056,162.38,99.73
12,11.92,16.3904,33.7581,24.7037,6.06,264.18,0.086,162.65,99.74
13,12.91,15.6534,33.7489,24.8639,6.13,267.07,0.105,162.61,99.8
14,13.9,15.4297,33.7488,24.9136,6.13,267.06,0.12,162.65,99.81
15,14.89,15.252,33.7544,24.9571,6.05,263.49,0.13,162.68,99.78
16,15.89,14.8981,33.7547,25.0346,5.92,257.83,0.132,162.89,99.76
17,16.88,14.5849,33.758,25.1045,5.92,258.08,0.127,162.91,99.74
18,17.87,14.4201,33.7654,25.1453,5.93,258.43,0.128,162.96,99.7
19,18.87,14.3997,33.7698,25.1531,5.94,258.75,0.134,162.95,99.65
20,19.86,14.4077,33.773,25.1539,5.96,259.67,0.132,162.91,99.64
21,20.85,14.4013,33.7738,25.1559,5.89,256.42,0.132,162.86,99.63
22,21.84,14.3948,33.7745,25.1579,5.7,248.53,0.136,162.94,99.63
23,22.84,13.9933,33.7626,25.233,5.31,231.12,0.134,163.05,99.62
24,23.83,12.9352,33.7498,25.4379,5.06,220.4,0.187,163.34,99.58
25,24.82,12.4879,33.7486,25.5245,4.85,211,0.241,163.54,99.46
26,25.82,12.2937,33.749,25.5623,4.68,203.74,0.227,163.63,99.39
27,26.81,12.0915,33.7566,25.6068,4.57,199.08,0.24,163.75,99.34
28,27.8,11.9481,33.7735,25.647,4.52,196.83,0.252,163.84,99.32
29,28.79,11.9137,33.7775,25.6566,4.48,194.91,0.269,163.87,99.3
30,29.79,11.8733,33.7806,25.6666,4.44,193.12,0.259,163.84,99.3
31,30.78,11.8638,33.7823,25.6697,4.33,188.46,0.274,163.89,99.3
32,31.77,11.7369,33.7806,25.6921,4.17,181.52,0.251,163.92,94.86
33,32.77,11.5136,33.79,25.7408,4.04,175.85,0.193,164.09,99.38
34,33.76,11.4427,33.7942,25.7571,3.96,172.34,0.177,164.12,99.32
35,34.75,11.3573,33.8008,25.7779,3.87,168.33,0.19,164.15,99.34
36,35.74,11.3033,33.8045,25.7906,3.79,165.17,0.184,164.1,86.07
37,36.74,11.2689,33.808,25.7996,3.77,164.22,0.177,164.13,98.6
38,37.73,11.257,33.8094,25.8029,3.74,162.8,0.172,164.15,99.32
39,38.72,11.2509,33.8097,25.8043,3.7,161.2,0.157,164.18,99.39
40,39.71,11.2265,33.8101,25.809,3.68,160.06,0.17,164.14,99.39
41,40.71,11.1942,33.8135,25.8175,3.62,157.66,0.173,164.1,94.59
42,41.7,11.1373,33.8129,25.8274,3.54,154.12,0.163,164.1,99.62
43,42.69,11.0936,33.8144,25.8364,3.5,152.54,0.126,164.15,95.62
44,43.69,11.0524,33.8152,25.8445,3.49,151.77,0.126,164.1,96.12
45,44.68,11.0141,33.8184,25.8539,3.45,150.31,0.12,164.09,99.37
46,45.67,10.9959,33.8184,25.8572,3.42,149.08,0.104,164.05,99.44
47,46.66,10.9835,33.8198,25.8605,3.41,148.61,0.088,164.07,94.07
48,47.66,10.9793,33.8203,25.8616,3.41,148.27,0.098,164.06,99.47
49,48.65,10.9753,33.8202,25.8623,3.39,147.58,0.098,164,99.44
50,49.64,10.9587,33.8209,25.8658,3.37,146.88,0.088,163.96,99.44
51,50.63,10.9489,33.8213,25.8679,3.36,146.15,0.088,163.91,95.15
52,51.63,10.9299,33.8225,25.8722,3.34,145.27,0.086,163.88,99.59
53,52.62,10.9064,33.8241,25.8777,3.32,144.4,0.089,163.86,99.46
54,53.61,10.8872,33.8246,25.8815,3.29,143.06,0.096,163.83,99.46
55,54.61,10.8499,33.8253,25.8887,3.27,142.53,0.077,163.85,99.46
56,55.6,10.813,33.8243,25.8944,3.27,142.36,0.079,163.76,99.46
57,56.59,10.791,33.8233,25.8976,3.27,142.39,0.072,163.78,99.46
58,57.58,10.7744,33.8227,25.9001,3.27,142.27,0.074,163.68,99.12
59,58.58,10.7571,33.822,25.9026,3.26,142.09,0.074,163.6,99
60,59.57,10.7485,33.8218,25.904,3.25,141.66,0.075,163.58,99.46
61,60.56,10.7306,33.8207,25.9063,3.23,140.64,0.07,163.53,99.47
62,61.55,10.6604,33.8183,25.9169,3.2,139.12,0.07,163.52,99.47
63,62.55,10.5151,33.8182,25.9422,3.19,138.79,0.058,163.55,99.48
64,63.54,10.3829,33.8106,25.9591,3.16,137.6,0.053,163.56,99.49
65,64.53,10.3898,33.8266,25.9705,3.07,133.59,0.052,163.54,99.49
66,65.53,10.4309,33.8496,25.9813,2.98,129.53,0.057,163.53,99.49
67,66.52,10.4225,33.8614,25.992,2.89,125.67,0.057,163.42,99.52
68,67.51,10.3768,33.8648,26.0025,2.84,123.73,0.055,163.45,99.54
69,68.5,10.3174,33.8683,26.0155,2.82,122.84,0.057,163.43,99.54
70,69.5,10.2384,33.8712,26.0314,2.82,122.78,0.054,163.47,99.55
71,70.49,10.1556,33.8728,26.0468,2.81,122.44,0.054,163.42,99.56
72,71.48,10.1006,33.8781,26.0603,2.79,121.56,0.056,163.41,99.56
73,72.47,10.0817,33.8792,26.0644,2.79,121.3,0.05,163.39,99.56
74,73.47,10.069,33.881,26.0679,2.78,121.08,0.046,163.37,99.56
75,74.46,10.0656,33.8829,26.07,2.77,120.7,0.05,163.34,99.56
76,75.45,10.0657,33.8835,26.0705,2.77,120.52,0.048,163.34,99.57
77,76.44,10.0652,33.8838,26.0708,2.76,120.23,0.048,163.24,99.57
78,77.44,10.0649,33.8853,26.0721,2.76,119.93,0.046,163.21,99.57
79,78.43,10.0646,33.8857,26.0724,2.75,119.72,0.048,163.17,99.57
