Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
4,3.97,20.7852,33.5282,23.4318,6.06,264.3,0.07,129.2,60.09
5,4.96,20.4267,33.5251,23.5251,6.19,270.06,0.065,128.94,59.48
6,5.96,20.0874,33.5253,23.6146,6.22,271.46,0.067,129.01,58.22
7,6.95,18.9653,33.5136,23.8945,6.53,284.71,0.068,129.24,57.46
8,7.94,18.593,33.5031,23.9799,6.5,283.6,0.072,129.24,56.58
9,8.94,18.4594,33.5013,24.0119,6.45,281.31,0.074,129.32,55.57
10,9.93,18.2356,33.4993,24.0656,6.46,281.86,0.072,129.38,54.44
11,10.92,18.0034,33.4976,24.1213,6.49,282.86,0.071,129.43,53.55
12,11.91,17.8281,33.4958,24.1627,6.49,282.96,0.071,129.45,52.8
13,12.91,17.715,33.4943,24.1889,6.48,282.57,0.072,129.42,51.65
14,13.9,17.3914,33.4891,24.2627,6.45,281.23,0.072,129.5,50.71
15,14.89,16.6837,33.4759,24.4192,6.49,282.88,0.07,129.69,49.78
16,15.89,16.0798,33.4673,24.5513,6.5,283.36,0.066,129.8,48.74
17,16.88,15.7147,33.4595,24.6276,6.48,282.37,0.061,129.91,47.58
18,17.87,15.4051,33.4558,24.6935,6.46,281.73,0.06,129.95,46.58
19,18.86,15.3133,33.4571,24.7148,6.39,278.38,0.062,129.92,45.55
20,19.86,15.1694,33.4542,24.7442,6.33,275.84,0.062,130.05,44.69
21,20.85,14.9982,33.4492,24.7776,6.26,272.75,0.063,130.1,43.76
22,21.84,14.5428,33.4364,24.8655,6.22,271.23,0.069,130.17,42.84
23,22.84,14.2063,33.4322,24.9334,6.16,268.41,0.087,130.3,41.78
24,23.83,14.0197,33.4251,24.9668,6.09,265.56,0.09,130.38,40.69
25,24.82,13.838,33.4176,24.9986,6.02,262.16,0.09,130.45,39.62
26,25.81,13.7441,33.4191,25.0191,5.9,257.18,0.092,130.51,38.6
27,26.81,13.691,33.4239,25.0337,5.78,251.77,0.091,130.55,37.67
28,27.8,13.5279,33.4368,25.077,5.68,247.28,0.089,130.64,36.73
29,28.79,13.4719,33.4515,25.0997,5.58,242.99,0.088,130.67,35.85
30,29.79,13.3778,33.4592,25.1247,5.49,238.96,0.085,130.77,34.83
31,30.78,13.2815,33.4613,25.1457,5.28,230.02,0.085,130.79,33.88
32,31.77,13.1947,33.4717,25.1712,4.85,211.17,0.082,130.87,32.8
33,32.76,12.8121,33.4912,25.2621,4.49,195.54,0.08,131.03,31.73
34,33.76,12.232,33.5167,25.394,4.35,189.66,0.073,131.33,30.71
35,34.75,11.9717,33.5242,25.4491,4.2,183.13,0.066,131.43,29.77
36,35.74,11.8312,33.5284,25.4787,4.06,176.81,0.063,131.58,28.8
37,36.73,11.582,33.5473,25.5396,3.96,172.26,0.059,131.71,27.76
38,37.73,11.413,33.5755,25.5926,3.91,170.09,0.056,131.8,26.72
39,38.72,11.2873,33.5994,25.6341,3.89,169.35,0.055,131.85,25.67
40,39.71,11.2002,33.6137,25.661,3.85,167.62,0.054,131.89,24.64
41,40.71,11.16,33.62,25.6731,3.78,164.75,0.054,131.92,23.73
42,41.7,11.0774,33.6326,25.6978,3.75,163.21,0.053,131.94,22.82
43,42.69,11.0287,33.6408,25.7129,3.74,163.02,0.052,131.97,21.85
44,43.68,11.0079,33.6435,25.7188,3.73,162.22,0.052,132,20.72
45,44.68,10.9725,33.6485,25.729,3.72,161.79,0.052,132.03,19.67
46,45.67,10.9533,33.6515,25.7348,3.71,161.43,0.052,131.98,18.62
47,46.66,10.9455,33.6518,25.7364,3.69,160.84,0.052,131.9,17.59
48,47.65,10.9391,33.6512,25.7371,3.7,160.94,0.052,131.71,16.67
49,48.65,10.9264,33.653,25.7408,3.69,160.82,0.053,131.65,15.63
50,49.64,10.9184,33.6531,25.7423,3.68,160.4,0.053,131.53,14.6
51,50.63,10.9164,33.6536,25.743,3.68,160.38,0.053,131.51,13.66
52,51.62,10.9145,33.654,25.7438,3.68,160.22,0.052,131.49,12.71
53,52.62,10.9125,33.6545,25.7445,3.67,159.82,0.053,131.08,11.7
54,53.61,10.9064,33.6558,25.7466,3.66,159.33,0.051,130.17,10.7
