Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
4,3.97,15.5036,31.1433,22.8925,6.2,270.83,0.058,165.66,99.71
5,4.96,15.4962,31.1435,22.8943,6.2,270.84,0.058,165.6,99.7
6,5.95,15.4959,31.1437,22.8945,6.24,272.47,0.059,165.55,99.71
7,6.94,15.4978,31.1437,22.8941,6.23,271.81,0.061,165.5,99.71
8,7.94,15.4979,31.1435,22.894,6.23,271.89,0.062,165.51,99.72
9,8.93,15.5007,31.1436,22.8935,6.22,271.74,0.064,165.47,99.71
10,9.92,15.4977,31.1431,22.8938,6.23,272.08,0.066,165.44,99.71
11,10.91,15.4743,31.145,22.9004,6.25,273,0.067,165.4,99.71
12,11.9,15.4688,31.1441,22.9009,6.24,272.57,0.07,165.36,99.71
13,12.9,15.4653,31.1453,22.9026,6.24,272.43,0.069,165.36,99.72
14,13.89,15.4541,31.1479,22.907,6.24,272.47,0.07,165.37,99.72
15,14.88,15.4009,31.1654,22.9321,6.25,273.04,0.071,165.35,99.71
16,15.87,15.3679,31.4735,23.1762,6.27,273.86,0.073,165.49,99.71
17,16.86,14.8801,31.6937,23.4505,6.47,282.12,0.074,165.6,99.71
18,17.85,13.8821,31.785,23.7284,6.9,300.82,0.075,165.84,99.72
19,18.85,12.4287,31.8833,24.0898,7.36,321.04,0.081,166.16,99.76
20,19.84,11.4688,31.9789,24.3411,7.51,327.58,0.078,166.34,99.81
21,20.83,11.123,32.0263,24.4395,7.44,324.13,0.076,166.45,99.87
22,21.82,10.9934,32.0409,24.4737,7.35,320.3,0.077,166.4,99.88
23,22.81,10.6871,32.0996,24.5726,7.37,321.37,0.077,166.52,99.88
24,23.81,10.4886,32.1326,24.6323,7.36,320.73,0.079,166.56,99.85
25,24.8,10.4477,32.1461,24.6498,7.32,319.02,0.081,166.56,99.85
26,25.79,10.4084,32.1564,24.6645,7.26,316.27,0.082,166.58,99.84
27,26.78,10.2646,32.1656,24.6959,7.23,314.9,0.083,166.64,99.83
28,27.77,10.0264,32.1908,24.7553,7.2,313.79,0.082,166.71,99.83
29,28.77,9.7946,32.2169,24.8138,7.1,309.19,0.085,166.77,99.81
30,29.76,9.5678,32.2399,24.8684,6.91,301.15,0.083,166.86,99.79
31,30.75,9.194,32.258,24.9419,6.77,294.88,0.074,167.01,99.77
32,31.74,9.0167,32.258,24.9695,6.65,289.96,0.064,167.09,99.72
33,32.73,9.0009,32.2608,24.9742,6.62,288.41,0.063,167.1,99.68
34,33.72,8.9884,32.2639,24.9786,6.55,285.4,0.065,167.13,98.37
35,34.72,8.9713,32.2657,24.9827,6.51,283.69,0.063,167.18,99.63
36,35.71,8.9528,32.2683,24.9875,6.48,282.48,0.062,167.18,99.58
37,36.7,8.9348,32.2725,24.9937,6.43,280,0.063,167.17,99.57
38,37.69,8.9064,32.2837,25.0068,6.3,274.58,0.063,167.18,99.56
39,38.68,8.832,32.3328,25.0567,6.2,270.3,0.06,167.25,99.55
40,39.68,8.7891,32.3475,25.0747,6.15,268.01,0.055,167.29,99.53
41,40.67,8.797,32.3648,25.0871,6.04,263.25,0.055,167.26,99.46
42,41.66,8.78,32.3772,25.0994,5.93,258.31,0.054,167.28,99.46
43,42.65,8.7809,32.437,25.1461,5.87,255.72,0.053,167.26,99.45
44,43.64,8.8352,32.4826,25.1735,5.79,252.18,0.052,167.28,99.42
45,44.63,8.8348,32.4884,25.1781,5.73,249.55,0.052,167.23,92.82
46,45.63,8.833,32.52,25.2032,5.7,248.36,0.051,167.23,93.53
47,46.62,8.8466,32.538,25.2152,5.68,247.4,0.05,167.24,99.15
48,47.61,8.853,32.5483,25.2222,5.65,246.06,0.051,167.27,99.37
49,48.6,8.8501,32.5559,25.2287,5.6,244.13,0.05,167.17,98.62
50,49.59,8.8114,32.582,25.2551,5.55,241.83,0.049,167.21,99.4
51,50.58,8.7783,32.6009,25.2749,5.53,240.94,0.049,167.25,99.35
52,51.58,8.7528,32.6142,25.2893,5.52,240.41,0.048,167.24,99.34
53,52.57,8.7452,32.6172,25.2928,5.48,238.84,0.049,167.19,99.34
54,53.56,8.7297,32.6239,25.3004,5.4,235.36,0.049,167.13,99.34
55,54.55,8.6912,32.6582,25.3332,5.34,232.41,0.049,167.16,99.34
56,55.54,8.6555,32.6914,25.3647,5.28,229.99,0.048,167.17,99.33
57,56.53,8.6478,32.6974,25.3706,5.21,226.93,0.048,167.2,99.32
58,57.53,8.6022,32.7123,25.3891,5.16,224.84,0.048,167.21,99.32
59,58.52,8.5445,32.7353,25.4159,5.14,223.65,0.05,167.26,99.32
60,59.51,8.5295,32.7447,25.4255,5.09,221.73,0.048,167.19,99.32
61,60.5,8.513,32.7548,25.436,5.03,218.94,0.049,167.23,99.3
62,61.49,8.4933,32.7629,25.4453,4.97,216.61,0.048,167.26,99.3
63,62.48,8.4569,32.7781,25.4627,4.93,214.84,0.048,167.2,99.3
64,63.48,8.4417,32.79,25.4743,4.89,213.07,0.048,167.21,99.29
65,64.47,8.4205,32.8225,25.5029,4.84,210.93,0.047,167.19,98.04
66,65.46,8.4267,32.8525,25.5256,4.8,208.85,0.048,167.17,94.39
67,66.45,8.4423,32.8685,25.5358,4.76,207.45,0.046,167.12,99.42
68,67.44,8.4316,32.8679,25.5369,4.7,204.73,0.046,167.21,99.31
