Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
3,2.98,16.5316,31.4967,22.935,5.9,257.72,0.05,134.64,99.76
4,3.97,16.5319,31.4993,22.937,5.91,258.01,0.047,134.71,99.76
5,4.96,16.5286,31.5043,22.9417,5.91,257.93,0.047,135.01,99.77
6,5.95,16.5308,31.5021,22.9395,5.9,257.79,0.047,135.07,99.77
7,6.94,16.4673,31.5707,23.0066,5.92,258.22,0.046,135.2,89.59
8,7.93,16.457,31.5806,23.0166,5.93,258.84,0.047,135.29,98.96
9,8.93,16.3825,31.6638,23.0973,5.96,260.19,0.046,135.37,99.77
10,9.92,16.2936,31.7321,23.1699,5.99,261.67,0.046,135.48,99.77
11,10.91,16.2507,31.7336,23.1808,6.01,262.54,0.045,135.56,99.77
12,11.9,15.6604,31.9302,23.4634,6.13,267.52,0.044,135.81,89.52
13,12.89,15.3349,31.9473,23.5478,6.18,269.49,0.044,135.91,99.82
14,13.88,15.297,31.9464,23.5553,6.18,269.74,0.044,135.92,99.78
15,14.88,15.1357,31.9561,23.5978,6.21,270.81,0.044,135.99,99.79
16,15.87,14.8696,31.9734,23.6681,6.25,272.84,0.044,136.1,99.79
17,16.86,14.7397,31.9901,23.7086,6.28,273.83,0.044,136.14,99.78
18,17.85,14.6487,31.9947,23.7314,6.31,275.28,0.046,136.17,99.79
19,18.84,14.5701,31.9985,23.7509,6.32,275.84,0.046,136.24,99.79
20,19.83,14.4948,32.0004,23.7682,6.34,276.57,0.046,136.24,99.78
21,20.83,14.4569,32.002,23.7774,6.34,276.44,0.046,136.26,99.79
22,21.82,14.2984,32.0022,23.8106,6.4,279.24,0.047,136.33,99.79
23,22.81,13.7534,32.0061,23.9253,6.58,286.97,0.049,136.48,99.79
24,23.8,13.3715,32.0209,24.0134,6.68,291.31,0.051,136.56,99.8
25,24.79,13.1403,32.0289,24.0653,6.74,293.94,0.051,136.58,99.86
26,25.78,12.9302,32.0296,24.107,6.82,297.24,0.051,136.7,99.86
27,26.78,12.3431,32.0452,24.2316,7.02,305.89,0.051,136.79,99.86
28,27.77,11.8483,32.0714,24.3441,7.16,312.11,0.051,136.87,99.85
29,28.76,11.6941,32.0828,24.3812,7.21,314.26,0.051,136.87,99.87
30,29.75,11.6529,32.0877,24.3925,7.22,314.57,0.051,136.9,99.89
31,30.74,11.3178,32.1064,24.4674,7.27,316.86,0.05,136.99,99.9
32,31.73,10.7466,32.139,24.5932,7.41,323.09,0.05,137.1,99.9
33,32.73,10.4688,32.1593,24.6566,7.46,325.15,0.051,137.15,99.9
34,33.72,10.2133,32.1713,24.7091,7.5,327.03,0.048,137.25,99.9
35,34.71,9.9824,32.1898,24.7619,7.52,327.59,0.051,137.28,99.9
36,35.7,9.7745,32.2042,24.8072,7.5,326.94,0.068,137.29,99.91
37,36.69,9.6237,32.2157,24.8407,7.49,326.34,0.081,137.39,99.92
38,37.68,9.5969,32.2223,24.8501,7.49,326.44,0.087,137.34,99.91
39,38.68,9.5932,32.222,24.8505,7.49,326.32,0.087,137.39,99.9
40,39.67,9.5896,32.2217,24.8508,7.48,325.9,0.088,137.4,99.9
41,40.66,9.5819,32.23,24.8586,7.46,325.07,0.087,137.39,99.9
42,41.65,9.5719,32.2323,24.8621,7.44,324.02,0.086,137.38,99.89
43,42.64,9.529,32.2248,24.863,7.41,323.05,0.087,137.49,99.89
44,43.63,9.5019,32.2294,24.871,7.39,322.01,0.085,137.44,99.88
