Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
3,2.98,14.381,33.5792,25.0094,5.76,250.89,0.164,145.81,99.57
4,3.97,14.3822,33.5797,25.0096,5.77,251.29,0.166,145.23,99.56
5,4.96,14.3864,33.5806,25.0094,5.76,250.93,0.176,145.17,99.57
6,5.96,14.3871,33.5807,25.0094,5.76,251.15,0.17,145.16,99.57
7,6.95,14.3812,33.5805,25.0106,5.76,251.11,0.166,145.13,99.56
8,7.94,14.3777,33.5804,25.0112,5.76,250.9,0.172,145.1,99.57
9,8.94,14.3707,33.5803,25.0127,5.76,250.79,0.165,145.04,99.56
10,9.93,14.3597,33.5806,25.0152,5.72,249.41,0.178,145.08,99.56
11,10.92,14.3175,33.5787,25.0227,5.7,248.23,0.166,145.05,99.56
12,11.91,14.1688,33.5754,25.0515,5.7,248.32,0.159,145.07,99.55
13,12.91,14.0852,33.5738,25.0677,5.67,247.23,0.153,145.08,99.54
14,13.9,14.0679,33.5754,25.0726,5.62,244.79,0.156,145.04,99.54
15,14.89,14.0131,33.5753,25.0839,5.54,241.28,0.159,145.07,99.53
16,15.88,13.8351,33.5778,25.1228,5.43,236.73,0.154,145.08,99.51
17,16.88,13.5402,33.5808,25.1855,5.21,227.02,0.146,145.14,99.48
18,17.87,13.2655,33.5876,25.2463,5.05,220.14,0.137,145.31,99.43
19,18.86,13.1106,33.5933,25.2817,4.94,215.27,0.128,145.43,99.39
20,19.86,13.014,33.5947,25.3021,4.81,209.32,0.124,145.47,99.35
21,20.85,12.8967,33.6017,25.3307,4.73,205.89,0.105,145.56,99.33
22,21.84,12.8304,33.6035,25.3452,4.62,201.34,0.094,145.62,99.32
23,22.83,12.7416,33.6077,25.3659,4.58,199.53,0.08,145.7,99.32
24,23.83,12.7274,33.609,25.3697,4.52,196.66,0.077,145.71,99.31
25,24.82,12.5737,33.6053,25.3968,4.37,190.18,0.071,145.77,99.3
26,25.81,12.0992,33.6026,25.4857,4.28,186.21,0.061,146.02,99.31
27,26.8,12.092,33.6017,25.4864,4.23,184.12,0.061,146.02,99.32
28,27.8,11.9921,33.6027,25.5061,4.18,182.04,0.059,146.04,99.32
29,28.79,11.9156,33.6002,25.5186,4.13,179.82,0.056,146.08,98.97
30,29.78,11.8648,33.5982,25.5265,4.08,177.67,0.054,146.09,99.33
31,30.78,11.7623,33.5974,25.5451,4.02,175.24,0.053,146.17,99.34
32,31.77,11.5938,33.6051,25.5823,4,174.13,0.051,146.25,99.34
33,32.76,11.5934,33.6073,25.5841,3.99,173.95,0.05,146.26,99.34
34,33.75,11.593,33.6096,25.586,3.98,173.44,0.051,146.24,96.06
35,34.75,11.5726,33.6197,25.5976,3.99,173.6,0.051,146.25,99.43
36,35.74,11.5663,33.6298,25.6067,3.99,173.92,0.053,146.24,99.31
37,36.73,11.5804,33.6346,25.6078,4,174.03,0.056,146.27,99.32
38,37.72,11.5851,33.6365,25.6084,4,174.2,0.056,146.26,99.37
39,38.72,11.5843,33.6362,25.6084,4,174.15,0.057,146.22,99.37
40,39.71,11.5892,33.6395,25.6101,4.01,174.45,0.059,146.21,99.37
41,40.7,11.5899,33.6426,25.6124,4.01,174.57,0.058,146.17,93.18
42,41.69,11.5927,33.6446,25.6134,4.01,174.62,0.06,146.24,98.83
43,42.69,11.5971,33.6477,25.615,4.01,174.83,0.063,146.31,99.37
44,43.68,11.5906,33.6474,25.6161,4,174.18,0.061,146.22,99.37
45,44.67,11.5601,33.6493,25.6232,3.99,173.72,0.06,146.26,99.36
46,45.67,11.538,33.6508,25.6284,3.98,173.26,0.066,146.25,99.37
47,46.66,11.5212,33.6515,25.6321,3.98,173.21,0.066,146.25,99.37
48,47.65,11.515,33.6523,25.6338,3.97,173.03,0.061,146.26,99.37
49,48.64,11.516,33.6523,25.6337,3.97,172.65,0.062,146.24,99.37
50,49.64,11.508,33.6523,25.6352,3.94,171.56,0.062,146.24,99.37
51,50.63,11.4629,33.6546,25.6453,3.93,171.08,0.059,146.23,99.37
52,51.62,11.4302,33.657,25.6532,3.91,170.36,0.059,146.23,99.37
53,52.61,11.4071,33.6596,25.6594,3.88,169.14,0.06,146.22,99.37
54,53.61,11.3728,33.6626,25.668,3.81,165.82,0.062,146.21,99.37
55,54.6,11.3022,33.6654,25.683,3.75,163.47,0.055,146.1,99.37
56,55.59,11.2275,33.6659,25.697,3.74,162.95,0.052,145.87,99.38
