Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
2,1.98,18.1294,7.8958,4.5937,6.71,298.43,0.12,120.84,15.49
3,2.98,17.475,14.6839,9.8893,6.31,279.11,0.185,123.37,15.73
4,3.97,17.3709,15.5276,10.5532,5.7,251.91,0.194,124.61,16.86
5,4.96,17.3356,17.1594,11.8032,6.26,276.43,0.188,124.79,13.86
6,5.95,16.6317,22.1838,15.7844,6.45,283.56,0.192,126.58,12.59
7,6.94,16.6704,22.8031,16.2494,6.53,286.97,0.185,125.69,11.01
8,7.93,16.4532,24.789,17.8143,6.49,284.87,0.175,126.29,10.06
9,8.93,16.2111,26.2478,18.983,6.67,292.2,0.19,126.14,8.62
10,9.92,16.0831,27.8275,20.2212,6.7,293.25,0.182,126.3,7.73
11,10.91,15.9945,28.5587,20.8012,6.74,295.05,0.201,126.45,6.53
12,11.9,15.8394,29.0188,21.188,6.8,297.36,0.25,126.53,5.69
13,12.89,15.8122,29.0467,21.2153,6.78,296.58,0.241,126.4,4.51
