Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
3,2.97,13.1178,31.7088,23.8216,7.69,335.54,0.075,165.5,86.48
4,3.97,13.1215,31.7096,23.8215,7.73,337.23,0.072,165.4,100.63
5,4.96,13.1339,31.7091,23.8187,7.71,336.33,0.074,165.35,99.95
6,5.95,12.9133,31.7242,23.8734,7.65,333.61,0.075,165.43,99.95
7,6.94,12.6766,31.739,23.9305,7.62,332.5,0.084,165.52,99.94
8,7.93,12.6594,31.7438,23.9375,7.36,321.11,0.083,165.48,72.54
9,8.92,11.9217,31.7941,24.115,7.1,309.68,0.116,165.73,48.46
10,9.92,11.6423,31.8159,24.1829,6.85,298.59,0.14,165.88,101.25
11,10.91,11.5325,31.8303,24.214,6.72,292.92,0.153,165.84,99.89
12,11.9,11.4632,31.8401,24.2341,6.6,287.98,0.162,165.92,97.07
13,12.89,11.3061,31.8628,24.2799,6.48,282.7,0.166,165.95,91.53
14,13.88,11.1298,31.9008,24.3406,6.33,276.07,0.17,166.05,99.88
15,14.87,11.032,31.922,24.3743,6.23,271.61,0.174,166.12,99.73
16,15.86,11.0088,31.9307,24.3851,6.19,270.07,0.171,166.08,99.71
17,16.86,10.9713,31.9472,24.4045,6.13,267.14,0.171,166.07,99.68
18,17.85,10.8869,31.9764,24.442,6.06,264.31,0.176,166.18,99.67
19,18.84,10.789,32.0063,24.4823,5.98,260.77,0.178,166.16,99.64
20,19.83,10.6904,32.0325,24.5197,5.9,257.13,0.183,166.14,99.44
21,20.82,10.6504,32.0451,24.5364,5.84,254.68,0.179,166.1,98.82
22,21.81,10.6139,32.0488,24.5456,5.79,252.41,0.177,166.14,97.89
23,22.8,10.5486,32.0677,24.5714,5.7,248.29,0.174,166.17,96.99
24,23.8,10.4327,32.078,24.5992,5.58,243.21,0.17,166.22,95.9
25,24.79,10.3464,32.0686,24.6065,5.47,238.59,0.157,166.18,94.85
26,25.78,10.2772,32.0752,24.6233,5.33,232.19,0.149,166.2,94.06
27,26.77,10.0727,32.0738,24.6563,4.89,213.26,0.139,166.25,93.06
28,27.76,9.4011,32.1644,24.836,4.33,188.6,0.087,166.6,91.99
29,28.75,8.9801,32.3289,25.0306,3.95,172.04,0.058,166.79,90.9
30,29.75,8.8084,32.4146,25.1242,3.77,164.16,0.054,166.83,89.94
31,30.74,8.5467,32.5438,25.2651,3.66,159.46,0.051,166.94,89.04
32,31.73,8.4386,32.5959,25.3221,3.56,154.98,0.049,166.99,87.89
33,32.72,8.3903,32.6195,25.3478,3.52,153.45,0.048,166.94,86.73
34,33.71,8.3607,32.6347,25.3642,3.49,151.8,0.048,167,85.66
35,34.7,8.3252,32.6521,25.3831,3.46,150.86,0.048,166.95,84.58
36,35.69,8.3043,32.6616,25.3937,3.44,149.69,0.047,166.99,83.62
37,36.69,8.2603,32.6829,25.4169,3.41,148.61,0.047,166.97,82.68
38,37.68,8.2093,32.7069,25.4433,3.4,148.19,0.046,167,81.69
39,38.67,8.1717,32.7243,25.4625,3.39,147.56,0.046,167.01,80.63
40,39.66,8.0878,32.7659,25.5073,3.37,146.58,0.046,167.04,79.38
41,40.65,7.9914,32.8198,25.5637,3.32,144.65,0.045,167.08,78.34
42,41.64,7.8526,32.9098,25.6545,3.25,141.3,0.044,167.11,77.68
43,42.63,7.7803,32.9615,25.7055,3.19,138.93,0.043,167.19,76.66
44,43.62,7.7517,32.9863,25.729,3.15,137,0.043,167.17,75.5
45,44.62,7.7464,32.9969,25.7382,3.11,135.36,0.043,167.14,74.35
46,45.61,7.7431,33.0036,25.7438,3.07,133.78,0.043,167.11,73.48
47,46.6,7.7365,33.0186,25.7566,3.03,131.9,0.043,167.07,72.54
48,47.59,7.7343,33.024,25.7612,3,130.73,0.043,167.1,71.63
49,48.58,7.7316,33.0297,25.7661,2.99,130.16,0.043,167.04,70.46
50,49.57,7.7296,33.0336,25.7694,2.98,129.58,0.043,167.06,69.47
51,50.56,7.7287,33.0352,25.7708,2.97,129.19,0.043,167.01,68.54
52,51.56,7.7237,33.0412,25.7763,2.95,128.25,0.043,166.99,67.73
53,52.55,7.7041,33.0604,25.7942,2.91,126.88,0.043,167,66.53
54,53.54,7.6764,33.0827,25.8156,2.87,124.81,0.042,166.96,65.56
55,54.53,7.6028,33.1418,25.8725,2.78,120.94,0.042,167.02,64.71
56,55.52,7.5625,33.1847,25.9119,2.67,116.33,0.042,167.04,64.05
57,56.51,7.5026,33.2595,25.9792,2.59,112.71,0.042,167,62.9
58,57.5,7.4538,33.3093,26.0253,2.52,109.49,0.042,167.08,61.77
59,58.49,7.4385,33.3259,26.0405,2.43,105.87,0.042,167.02,60.6
60,59.49,7.4276,33.3386,26.052,2.39,103.86,0.042,166.99,59.83
61,60.48,7.4234,33.344,26.0568,2.36,102.52,0.042,167.06,58.95
62,61.47,7.42,33.3488,26.0611,2.33,101.33,0.042,166.95,57.99
63,62.46,7.4108,33.3593,26.0707,2.3,100.32,0.042,166.96,56.77
64,63.45,7.407,33.3634,26.0744,2.28,99.35,0.043,166.94,55.74
65,64.44,7.4035,33.3667,26.0776,2.26,98.43,0.042,166.9,54.8
66,65.43,7.3929,33.3759,26.0863,2.24,97.38,0.042,166.9,53.79
67,66.42,7.3802,33.386,26.096,2.21,96.14,0.042,166.84,52.83
68,67.42,7.3642,33.399,26.1084,2.2,95.54,0.043,166.9,51.83
69,68.41,7.3615,33.4012,26.1105,2.18,94.89,0.043,166.86,50.85
70,69.4,7.3536,33.4076,26.1167,2.16,93.86,0.042,166.84,49.8
71,70.39,7.3309,33.4259,26.1343,2.13,92.9,0.043,166.84,48.69
72,71.38,7.3261,33.4296,26.1379,2.12,92.09,0.042,166.8,47.86
73,72.37,7.3176,33.4363,26.1443,2.09,91.06,0.043,166.75,46.82
74,73.36,7.3042,33.4469,26.1546,2.07,89.99,0.043,166.81,45.74
75,74.35,7.2878,33.4597,26.167,2.03,88.54,0.043,166.8,44.66
76,75.35,7.2494,33.4888,26.1952,1.98,86.3,0.043,166.78,43.64
77,76.34,7.2058,33.5209,26.2265,1.94,84.63,0.043,166.81,42.44
78,77.33,7.1957,33.5279,26.2334,1.92,83.49,0.042,166.82,41.49
79,78.32,7.1903,33.5316,26.2371,1.88,81.87,0.042,166.82,40.54
80,79.31,7.1461,33.5606,26.266,1.82,79.37,0.042,166.76,39.54
81,80.3,7.0569,33.6204,26.3253,1.76,76.53,0.043,166.8,38.42
82,81.29,6.9876,33.6648,26.3697,1.68,73,0.042,166.78,37.43
83,82.28,6.8775,33.7341,26.4392,1.58,68.72,0.042,166.85,36.43
84,83.28,6.771,33.7964,26.5026,1.49,64.7,0.042,166.88,35.42
85,84.27,6.7363,33.8144,26.5215,1.43,62.3,0.042,166.91,34.46
86,85.26,6.708,33.8273,26.5354,1.4,60.9,0.042,166.91,33.46
87,86.25,6.6713,33.8427,26.5525,1.38,59.98,0.042,166.88,32.47
88,87.24,6.6677,33.8442,26.5541,1.35,58.93,0.042,166.87,31.26
89,88.23,6.648,33.8525,26.5633,1.33,57.93,0.042,166.78,30.15
90,89.22,6.6409,33.8556,26.5667,1.32,57.44,0.042,166.81,29.23
91,90.21,6.64,33.8562,26.5673,1.31,57.07,0.042,166.82,28.29
92,91.2,6.6275,33.8612,26.5729,1.31,56.85,0.042,166.75,27.32
93,92.2,6.628,33.8613,26.573,1.3,56.74,0.042,166.76,26.3
94,93.19,6.6288,33.8611,26.5727,1.3,56.63,0.042,166.7,25.19
95,94.18,6.6297,33.8611,26.5726,1.3,56.44,0.042,166.78,24.1
96,95.17,6.6236,33.8635,26.5753,1.3,56.34,0.042,166.7,23.03
97,96.16,6.6194,33.8653,26.5773,1.29,56.22,0.042,166.67,22.04
98,97.15,6.6195,33.8653,26.5772,1.29,56.06,0.042,166.71,21.13
99,98.14,6.615,33.8672,26.5794,1.29,55.95,0.042,166.71,20.14
100,99.13,6.6153,33.8671,26.5793,1.28,55.87,0.042,166.64,19.03
101,100.12,6.6154,33.8671,26.5793,1.28,55.73,0.042,166.59,17.77
102,101.12,6.6117,33.8685,26.5809,1.28,55.59,0.042,166.57,16.8
103,102.11,6.6118,33.8683,26.5807,1.28,55.51,0.042,166.54,15.75
104,103.1,6.611,33.8686,26.5811,1.28,55.48,0.042,166.48,14.74
105,104.09,6.6113,33.8684,26.5809,1.27,55.46,0.042,166.34,13.71
106,105.08,6.6119,33.8682,26.5807,1.27,55.39,0.042,166.31,12.66
107,106.07,6.611,33.8684,26.581,1.27,55.41,0.042,166.3,11.63
108,107.06,6.6113,33.8682,26.5808,1.27,55.27,0.042,166.19,10.67
109,108.05,6.6118,33.8681,26.5806,1.27,55.04,0.042,165.22,9.49
