Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
3,2.98,15.8346,30.966,22.6837,6.33,276.59,0.071,191.68,99.75
4,3.97,15.8347,30.966,22.6837,6.34,276.79,0.071,191.42,99.76
5,4.96,15.8336,30.966,22.684,6.36,277.89,0.071,190.98,99.76
6,5.95,15.8322,30.966,22.6844,6.37,277.97,0.072,190.95,99.76
7,6.94,15.8319,30.9661,22.6845,6.37,278.06,0.073,190.89,99.76
8,7.94,15.8323,30.9667,22.685,6.36,277.82,0.072,190.89,99.76
9,8.93,15.8327,30.9672,22.6853,6.37,278.09,0.072,190.78,99.76
10,9.92,15.8317,30.9679,22.6861,6.37,278.05,0.072,190.75,99.76
11,10.91,15.8323,30.9675,22.6857,6.36,277.95,0.072,190.69,99.76
12,11.9,15.8282,30.969,22.6878,6.38,278.8,0.072,190.71,99.76
13,12.89,15.8125,30.9754,22.6961,6.4,279.52,0.071,190.68,99.76
14,13.89,15.5797,31.0403,22.7971,6.58,287.09,0.072,190.73,99.76
15,14.88,15.1786,31.1592,22.9752,6.67,291.38,0.071,190.79,99.76
16,15.87,14.8585,31.2533,23.1159,6.84,298.39,0.073,190.88,99.78
17,16.86,13.546,31.602,23.6547,7.26,316.82,0.073,191.17,99.8
18,17.85,11.7556,31.8959,24.2246,7.51,327.28,0.077,191.48,99.85
19,18.85,11.7479,31.8875,24.2195,7.32,318.98,0.088,191.65,99.88
20,19.84,11.6164,31.9276,24.2746,7.25,316.28,0.102,191.65,99.89
21,20.83,11.5345,31.9574,24.3126,7.02,306.25,0.115,191.62,99.86
22,21.82,11.4494,31.9984,24.3598,6.79,295.91,0.107,191.64,97.31
23,22.81,11.214,32.0453,24.4382,6.59,287.46,0.101,191.81,99.81
24,23.8,11.0798,32.0704,24.4815,6.41,279.21,0.1,191.87,99.77
25,24.8,10.8598,32.0969,24.5407,6.08,265.23,0.101,191.94,99.7
26,25.79,10.3617,32.1535,24.6701,5.51,240.03,0.102,192.3,99.59
27,26.78,9.9311,32.2087,24.7849,5.39,235.07,0.092,192.6,99.54
28,27.77,9.7195,32.2365,24.8412,5.31,231.55,0.089,192.71,99.46
29,28.76,9.6451,32.2498,24.8637,5.15,224.49,0.093,192.78,99.36
30,29.76,9.5316,32.2606,24.8904,5.02,218.6,0.092,192.92,99.32
31,30.75,9.4102,32.2804,24.9253,5.01,218.36,0.087,193.02,99.32
32,31.74,9.3121,32.2896,24.948,5.01,218.09,0.084,193.05,99.32
33,32.73,9.192,32.3014,24.9762,4.97,216.73,0.088,193.09,99.3
34,33.72,9.0929,32.312,25,4.97,216.44,0.084,193.14,97.64
35,34.71,9.0422,32.3128,25.0085,5,217.7,0.079,193.14,98.33
36,35.71,8.9132,32.3182,25.0327,5.13,223.72,0.077,193.21,99.29
37,36.7,8.5539,32.3552,25.1163,5.24,228.19,0.072,193.27,99.3
38,37.69,8.4577,32.3677,25.1405,5.3,230.91,0.074,193.23,93.06
39,38.68,8.2367,32.4112,25.2074,5.34,232.76,0.068,193.31,90.28
40,39.67,8.1806,32.4389,25.2373,5.34,232.65,0.062,193.32,99.28
41,40.66,8.1681,32.4495,25.2474,5.34,232.45,0.059,193.21,99.31
42,41.66,8.1659,32.4749,25.2677,5.28,230.09,0.063,193.2,99.32
43,42.65,8.1638,32.5004,25.288,5.2,226.31,0.06,193.21,99.32
44,43.64,8.1518,32.5814,25.3533,5.15,224.18,0.058,193.29,99.32
45,44.63,8.168,32.5862,25.3547,5.1,222.18,0.056,193.22,99.31
46,45.62,8.178,32.6209,25.3805,5.05,220.1,0.055,193.21,98.75
47,46.61,8.1744,32.6265,25.3855,4.95,215.54,0.057,193.16,98.19
48,47.61,8.121,32.6621,25.4212,4.69,204.09,0.058,193.15,99.33
49,48.6,8.0021,32.7035,25.471,4.52,197.05,0.059,193.29,99.3
50,49.59,7.9585,32.7414,25.5071,4.48,195.03,0.058,193.31,99.31
51,50.58,7.9383,32.7641,25.5278,4.41,192.26,0.058,193.33,99.33
52,51.57,7.9231,32.8399,25.5895,4.35,189.46,0.055,193.31,99.34
53,52.56,7.92,32.8607,25.6064,4.29,186.64,0.052,193.26,99.34
54,53.56,7.9164,32.8721,25.6158,4.18,182.22,0.052,193.32,98.01
55,54.55,7.8999,32.9637,25.6902,4.04,176.11,0.051,193.35,99.39
56,55.54,7.8975,33.0307,25.7431,3.99,173.5,0.05,193.37,99.37
57,56.53,7.91,33.0505,25.7568,3.96,172.53,0.048,193.35,99.38
58,57.52,7.9179,33.0678,25.7693,3.94,171.32,0.049,193.32,90.62
59,58.51,7.9292,33.0928,25.7873,3.91,170.36,0.047,193.3,99.03
60,59.51,7.9326,33.0971,25.7902,3.9,169.67,0.047,193.28,99.41
61,60.5,7.936,33.1013,25.793,3.82,166.42,0.047,193.21,99.41
62,61.49,7.9217,33.1772,25.8547,3.73,162.4,0.046,193.23,99.41
63,62.48,7.9132,33.2055,25.8782,3.63,158.11,0.045,193.18,99.43
64,63.47,7.8984,33.2752,25.9351,3.53,153.54,0.044,193.29,99.44
65,64.46,7.8947,33.3023,25.9569,3.42,148.71,0.044,193.3,99.46
66,65.46,7.883,33.3631,26.0064,3.35,145.96,0.043,193.36,99.47
67,66.45,7.878,33.377,26.018,3.31,143.91,0.043,193.32,99.5
68,67.44,7.8746,33.3839,26.024,3.29,143.06,0.043,193.36,99.51
69,68.43,7.8755,33.4015,26.0377,3.26,141.89,0.043,193.29,99.52
70,69.42,7.8756,33.431,26.0608,3.21,139.75,0.042,193.27,99.54
71,70.41,7.8699,33.4406,26.0692,3.19,138.68,0.042,193.24,99.54
72,71.41,7.868,33.4436,26.0718,3.18,138.5,0.042,193.25,99.54
73,72.4,7.8673,33.4456,26.0736,3.18,138.38,0.042,193.2,99.54
74,73.39,7.8674,33.4484,26.0758,3.17,138.03,0.042,193.08,99.55
75,74.38,7.8676,33.4512,26.0779,3.15,136.95,0.042,193.12,99.55
76,75.37,7.8557,33.4615,26.0878,3.11,135.34,0.042,193.09,99.55
77,76.36,7.829,33.4862,26.111,3.07,133.48,0.042,193.11,99.55
78,77.35,7.8173,33.4981,26.1221,3.02,131.65,0.041,193.12,99.56
79,78.35,7.8095,33.5032,26.1273,2.99,130.01,0.041,193.09,99.57
80,79.34,7.8036,33.5071,26.1312,2.91,126.49,0.041,193.08,99.57
81,80.33,7.7643,33.5378,26.161,2.81,122.12,0.041,193.05,99.58
82,81.32,7.7437,33.5629,26.1837,2.73,118.93,0.042,193.11,99.59
83,82.31,7.7398,33.5723,26.1916,2.62,113.99,0.042,193.06,99.63
84,83.3,7.7253,33.6036,26.2183,2.45,106.74,0.042,193.09,99.63
85,84.3,7.7043,33.6319,26.2436,2.35,102.41,0.042,193.19,99.63
86,85.29,7.7011,33.646,26.2552,2.33,101.2,0.042,193.09,99.65
87,86.28,7.7042,33.6494,26.2575,2.26,98.25,0.042,193.12,99.68
88,87.27,7.6956,33.6694,26.2744,2.12,92.09,0.042,193.12,99.71
