Pressure,Depth,TemperatureITS90,SalinityPSS78,SigmathetaEOS80,Oxygen,Oxygen_alt1,Fluorescence,OxygenReductionPotential,Altimeter
3,2.98,16.1853,31.944,23.3568,5.85,255.09,0.047,121.44,99.75
4,3.97,16.1676,31.9422,23.3594,5.87,256.18,0.047,121.28,99.74
5,4.96,16.168,31.9422,23.3593,5.89,257.08,0.047,121.48,99.75
6,5.95,16.1739,31.9427,23.3584,5.89,257,0.046,121.55,99.76
7,6.94,16.1759,31.9429,23.3581,5.9,257.26,0.046,121.62,99.76
8,7.93,16.1746,31.9427,23.3583,5.9,257.64,0.046,121.59,99.76
9,8.93,16.1739,31.9427,23.3585,5.9,257.6,0.046,121.55,99.76
10,9.92,16.1708,31.9422,23.3589,5.89,257.2,0.046,121.62,99.76
11,10.91,16.1125,31.9357,23.367,5.93,258.66,0.046,121.62,99.76
12,11.9,16.0537,31.9325,23.3778,5.94,259.17,0.046,121.71,99.76
13,12.89,16.0186,31.9297,23.3835,5.95,259.44,0.045,121.71,99.76
14,13.88,16.0112,31.9294,23.385,5.95,259.63,0.045,121.72,99.76
15,14.88,15.9204,31.9184,23.3968,5.98,260.94,0.046,121.71,99.77
16,15.87,15.3096,31.8984,23.5157,6.18,269.54,0.045,121.8,99.77
17,16.86,14.8469,31.91,23.6241,6.25,272.72,0.044,121.9,99.78
18,17.85,14.5831,31.9248,23.6913,6.31,275.25,0.045,121.98,99.8
19,18.84,14.2591,31.9368,23.7682,6.4,279.34,0.047,122.07,99.81
20,19.83,13.8236,31.9386,23.8589,6.53,284.82,0.047,122.17,99.82
21,20.83,13.7005,31.9484,23.8914,6.51,284.04,0.048,122.2,99.82
22,21.82,13.6599,31.9497,23.9006,6.53,284.9,0.048,122.17,99.84
23,22.81,13.4366,31.9536,23.9485,6.64,289.48,0.049,122.27,99.84
24,23.8,13.0923,31.9888,24.0437,6.79,296,0.051,122.3,99.85
25,24.79,12.5512,32.045,24.1919,7.07,308.17,0.052,122.52,99.85
26,25.78,12.086,32.077,24.3044,7.23,315.36,0.053,122.64,99.85
27,26.78,11.8253,32.0891,24.362,7.32,319.28,0.057,122.61,99.88
28,27.77,11.7724,32.0916,24.3737,7.3,318.32,0.059,122.58,99.91
